SizeBucket,Reward,Metric,Mean,Std,Min,Max,CI_95_Low,CI_95_High,Mean_Improvement,Std_Improvement,CI_95_Improvement_Low,CI_95_Improvement_High,Improvement_Type,N_Runs
Small,EFFRES,NatConnectivity,1.3391406974951188,,1.3391406974951188,1.3391406974951188,,,16.545680101293755,0.0,,,Percentage,1
Small,EFFRES,EffResistance,264.7023008757166,,264.7023008757166,264.7023008757166,,,-19.923875565801673,0.0,,,Percentage,1
Small,EFFRES,Assortativity,-0.40084363369250803,,-0.40084363369250803,-0.40084363369250803,,,0.008564516784538623,0.0,,,Absolute,1
Small,EFFRES,AvgClustering,0.13395705158551005,,0.13395705158551005,0.13395705158551005,,,0.042915361153997494,0.0,,,Absolute,1
Small,IVI,λ₂,0.22227464424487903,,0.22227464424487903,0.22227464424487903,,,22.799787845855978,0.0,,,Percentage,1
Small,IVI,AvgNodeConn,1.4,,1.4,1.4,,,7.6923076331360845,0.0,,,Percentage,1
Small,IVI,GCC_5%,0.829739219114219,,0.829739219114219,0.829739219114219,,,6.861438958171809,0.0,,,Percentage,1
Small,IVI,AttackCurveAUC,0.1368700803128685,,0.1368700803128685,0.1368700803128685,,,10.360409105855908,0.0,,,Percentage,1
Small,IVI,ASPL,2.396436860241208,,2.396436860241208,2.396436860241208,,,-8.95643009231725,0.0,,,Percentage,1
Small,IVI,Diameter,4.5,,4.5,4.5,,,-9.99999998,0.0,,,Percentage,1
Small,IVI,ArticulationPoints,2.0,,2.0,2.0,,,-16.66666659722222,0.0,,,Percentage,1
Small,IVI,Bridges,4.5,,4.5,4.5,,,-32.835820846513705,0.0,,,Percentage,1
Small,IVI,BetCentralization,8.911993265176626,,8.911993265176626,8.911993265176626,,,-0.696473609079721,0.0,,,Absolute,1
Small,IVI,NatConnectivity,1.3736340573663717,,1.3736340573663717,1.3736340573663717,,,19.54764401940465,0.0,,,Percentage,1
Small,IVI,EffResistance,266.7143150827325,,266.7143150827325,266.7143150827325,,,-19.315213308370293,0.0,,,Percentage,1
Small,IVI,Assortativity,-0.4131309319437886,,-0.4131309319437886,-0.4131309319437886,,,-0.0037227814667419312,0.0,,,Absolute,1
Small,IVI,AvgClustering,0.2419749334620876,,0.2419749334620876,0.2419749334620876,,,0.15093324303057504,0.0,,,Absolute,1
Small,NNSI,λ₂,0.26735425583403094,,0.26735425583403094,0.26735425583403094,,,47.70486196745472,0.0,,,Percentage,1
Small,NNSI,AvgNodeConn,1.4,,1.4,1.4,,,7.6923076331360845,0.0,,,Percentage,1
Small,NNSI,GCC_5%,0.8217686480186479,,0.8217686480186479,0.8217686480186479,,,5.834915603960374,0.0,,,Percentage,1
Small,NNSI,AttackCurveAUC,0.14242875483889345,,0.14242875483889345,0.14242875483889345,,,14.84245184708684,0.0,,,Percentage,1
Small,NNSI,ASPL,2.3787207719816417,,2.3787207719816417,2.3787207719816417,,,-9.629485969557264,0.0,,,Percentage,1
