SizeBucket,Metric,EFFRES,GREEDY_ALG,GREEDY_BET,GREEDY_DEG,IVI,NNSI,PBR
Medium,ASPL,3.5196950404242404,3.273725879173997,3.124089874853125,3.668112977639471,3.5447936856432967,3.5701657052210813,3.5718674913900412
Medium,ArticulationPoints,10.0,12.0,11.666666666666666,8.0,11.0,10.333333333333334,10.666666666666666
Medium,Assortativity,-0.22142872040459446,-0.2654258380978863,-0.18981728791224184,-0.17493457066483153,-0.21168419380204007,-0.22261501188674923,-0.21525824948735847
Medium,AttackCurveAUC,0.10552828861974299,0.10507751194348909,0.08938549449227594,0.10354517935584318,0.10694284667440203,0.10729339825581734,0.10773044649123015
Medium,AvgClustering,0.1009701441583422,0.08871330583726882,0.12449969342380994,0.11183248832576391,0.09618147314800103,0.0979969428652658,0.09963319492787444
Medium,AvgNodeConn,1.1821598703583998,1.1333993906857904,1.1142806901593305,1.2774169889165343,1.1810893095883863,1.176326106656989,1.170827406672995
Medium,BetCentralization,25.745136095310894,22.322584142550564,37.29938714284419,26.74432153067396,26.761026780633973,26.60180999116224,26.284196036946838
Medium,Bridges,19.833333333333332,26.0,26.5,13.5,20.666666666666668,21.0,20.166666666666668
Medium,Diameter,7.333333333333333,6.5,6.166666666666667,7.333333333333333,7.333333333333333,7.5,7.5
Medium,EffResistance,2777.6065031418343,2751.45654924241,2806.880166816912,2799.0753157286485,2890.3316229575835,2913.5408463133426,2889.909074709927
Medium,GCC_5%,0.809499358382299,0.7552359951477388,0.6601094828727984,0.8401363053872205,0.7667366876387504,0.8001445196726215,0.7718649497801485
Medium,NatConnectivity,1.5379840158177889,1.6449016998373212,2.0004580678788546,1.4663809964279675,1.5519317949376832,1.5311610767901398,1.5335849850882266
Medium,λ₂,0.07973096124853052,0.13633233490432267,0.09883272610352796,0.06566742834274683,0.076542154014325,0.0731344495433502,0.07494708243089011
Small,ASPL,2.379285967655533,2.2070038295038295,2.240164002664003,2.4698831241222545,2.396436860241208,2.3787207719816417,2.3571188774993126
Small,ArticulationPoints,1.8,2.1,2.0,1.6,2.0,1.8,2.0
Small,Assortativity,-0.40084363369250803,-0.4550175541393481,-0.4001561914269855,-0.33378533926662235,-0.4131309319437886,-0.39017315499515376,-0.42493222541503267
Small,AttackCurveAUC,0.13678954688897232,0.13073100688769032,0.1281231389491772,0.13416622310625403,0.1368700803128685,0.14242875483889345,0.1372752535022522
Small,AvgClustering,0.13395705158551005,0.16447082506865113,0.27551472825541146,0.22522452364384887,0.2419749334620876,0.16234397464634615,0.18532631206967737
Small,AvgNodeConn,1.5,1.3,1.3,1.5,1.4,1.4,1.4
Small,BetCentralization,8.431575560765713,9.000400283863781,10.316952237223884,8.529267330104343,8.911993265176626,8.071481418191945,8.157090755562741
Small,Bridges,4.4,5.6,5.7,3.3,4.5,4.4,4.4
Small,Diameter,4.3,3.7,3.8,4.7,4.5,4.3,4.3
Small,EffResistance,264.7023008757166,251.7835559231443,263.70111940385976,268.5959274170692,266.7143150827325,257.8762016768975,260.74369512002477
Small,GCC_5%,0.8114656177156178,0.7982808857808857,0.7900990675990676,0.8032837995337996,0.829739219114219,0.8217686480186479,0.8324315268065268
Small,NatConnectivity,1.3391406974951188,1.4402707083256083,1.5534208404618552,1.3111010207045033,1.3736340573663717,1.3396232100445844,1.363099882886972
Small,λ₂,0.2913068977261274,0.3427236184603074,0.29162865685031536,0.20776494001085172,0.22227464424487903,0.26735425583403094,0.26946583395236623
