Graph,Reward,Step,Node_U,Node_V,Edge,WasAdded,StepReward,AgentAction,GreedyAction,GreedyEdge,GreedyReward,AgentMatchedGreedy
Amres,PBR,1,6,20,6-20,True,0.008277774723266396,134,-1,N/A,,False
Amres,PBR,2,1,6,1-6,True,0.009525392633468077,27,-1,N/A,,False
Amres,PBR,3,6,18,6-18,True,-0.0016555917800454706,132,-1,N/A,,False
Amres,EFFRES,1,6,20,6-20,True,0.36088553052036987,134,-1,N/A,,False
Amres,EFFRES,2,1,6,1-6,True,0.14740388343110675,27,-1,N/A,,False
Amres,EFFRES,3,6,18,6-18,True,0.14568552536673943,132,-1,N/A,,False
Amres,IVI,1,7,24,7-24,True,5.0,155,-1,N/A,,False
Amres,IVI,2,3,4,3-4,True,0.0,66,-1,N/A,,False
Amres,IVI,3,6,18,6-18,True,0.0,132,-1,N/A,,False
Amres,NNSI,1,6,20,6-20,True,-4.0,134,-1,N/A,,False
Amres,NNSI,2,1,6,1-6,True,0.0,27,-1,N/A,,False
Amres,NNSI,3,6,18,6-18,True,0.0,132,-1,N/A,,False
Eenet,PBR,1,3,8,3-8,True,0.05444154513162015,33,-1,N/A,,False
Eenet,PBR,2,0,4,0-4,True,0.05523560433910915,3,-1,N/A,,False
Eenet,EFFRES,1,3,6,3-6,True,0.24893304367586602,31,-1,N/A,,False
Eenet,EFFRES,2,0,4,0-4,True,0.2655860937539138,3,-1,N/A,,False
Eenet,IVI,1,1,8,1-8,True,5.0,16,-1,N/A,,False
Eenet,IVI,2,0,4,0-4,True,5.0,3,-1,N/A,,False
Eenet,NNSI,1,2,3,2-3,True,0.3888888888888893,21,-1,N/A,,False
Eenet,NNSI,2,0,4,0-4,True,1.2444444444444436,3,-1,N/A,,False
Renater2006,PBR,1,9,12,9-12,True,0.026022466478238127,238,-1,N/A,,False
Renater2006,PBR,2,19,29,19-29,True,0.008961715211024346,416,-1,N/A,,False
Renater2006,PBR,3,4,23,4-23,True,0.009507700002708487,131,-1,N/A,,False
Renater2006,PBR,4,11,30,11-30,True,0.018448751915441354,295,-1,N/A,,False
Renater2006,PBR,5,12,17,12-17,True,0.010495672396886525,302,-1,N/A,,False
Renater2006,EFFRES,1,17,28,17-28,True,0.12730422371515193,391,-1,N/A,,False
Renater2006,EFFRES,2,4,23,4-23,True,0.10129251603945452,131,-1,N/A,,False
Renater2006,EFFRES,3,11,29,11-29,True,0.10507337089350352,294,-1,N/A,,False
Renater2006,EFFRES,4,12,16,12-16,True,0.10885837915299922,301,-1,N/A,,False
Renater2006,EFFRES,5,4,31,4-31,True,0.08885481869694041,139,-1,N/A,,False
Renater2006,IVI,1,15,17,15-17,True,0.0,352,-1,N/A,,False
Renater2006,IVI,2,4,23,4-23,True,5.0,131,-1,N/A,,False
Renater2006,IVI,3,11,29,11-29,True,5.0,294,-1,N/A,,False
Renater2006,IVI,4,12,16,12-16,True,5.0,301,-1,N/A,,False
Renater2006,IVI,5,4,31,4-31,True,0.0,139,-1,N/A,,False
Renater2006,NNSI,1,5,10,5-10,True,-0.3157894736842106,144,-1,N/A,,False
Renater2006,NNSI,2,4,23,4-23,True,0.0,131,-1,N/A,,False
Renater2006,NNSI,3,11,30,11-30,True,0.08695652173913082,295,-1,N/A,,False
Renater2006,NNSI,4,12,17,12-17,True,-0.08695652173913082,302,-1,N/A,,False
Renater2006,NNSI,5,3,17,3-17,True,0.0,99,-1,N/A,,False
Xspedius,PBR,1,9,23,9-23,True,-0.027521291575834616,252,-1,N/A,,False
Xspedius,PBR,2,4,22,4-22,True,0.009622162922669463,131,-1,N/A,,False
Xspedius,PBR,3,11,24,11-24,True,-0.00753149761802878,295,-1,N/A,,False
Xspedius,PBR,4,11,31,11-31,True,-0.024188707392620055,302,-1,N/A,,False
Xspedius,PBR,5,6,19,6-19,True,0.003147874067900326,179,-1,N/A,,False
Xspedius,EFFRES,1,5,16,5-16,True,0.05585940310010201,153,-1,N/A,,False
Xspedius,EFFRES,2,4,22,4-22,True,0.12928962014746162,131,-1,N/A,,False
Xspedius,EFFRES,3,11,24,11-24,True,0.08928001701969557,295,-1,N/A,,False
Xspedius,EFFRES,4,11,31,11-31,True,-0.01582789569316667,302,-1,N/A,,False
Xspedius,EFFRES,5,4,30,4-30,True,0.06981199470387178,139,-1,N/A,,False
Xspedius,IVI,1,8,16,8-16,True,0.03634018725075716,224,-1,N/A,,False
Xspedius,IVI,2,4,22,4-22,True,-0.15838043226051868,131,-1,N/A,,False
Xspedius,IVI,3,11,24,11-24,True,0.2083867827499759,295,-1,N/A,,False
Xspedius,IVI,4,11,31,11-31,True,0.30411780211858463,302,-1,N/A,,False
Xspedius,IVI,5,4,30,4-30,True,-0.15735851325105354,139,-1,N/A,,False
Xspedius,NNSI,1,3,17,3-17,True,0.0,100,-1,N/A,,False
Xspedius,NNSI,2,4,23,4-23,True,0.0,132,-1,N/A,,False
Xspedius,NNSI,3,11,24,11-24,True,0.0,295,-1,N/A,,False
Xspedius,NNSI,4,11,31,11-31,True,0.0,302,-1,N/A,,False
Xspedius,NNSI,5,0,4,0-4,True,0.0,1,-1,N/A,,False
Marwan,PBR,1,10,12,10-12,True,0.03892848592383504,93,-1,N/A,,False
Marwan,PBR,2,0,6,0-6,True,-0.03600723067764565,3,-1,N/A,,False
Marwan,EFFRES,1,1,2,1-2,True,0.09570953569782034,13,-1,N/A,,False
Marwan,EFFRES,2,0,6,0-6,True,0.09325957022629543,3,-1,N/A,,False
Marwan,IVI,1,0,13,0-13,True,5.0,10,-1,N/A,,False
Marwan,IVI,2,0,6,0-6,True,5.0,3,-1,N/A,,False
Marwan,NNSI,1,4,9,4-9,True,-0.26854422268391076,50,-1,N/A,,False
Marwan,NNSI,2,0,6,0-6,True,-0.7290640394088657,3,-1,N/A,,False
Bellsouth,PBR,1,2,3,2-3,True,0.014937631786181117,97,-1,N/A,,False
Bellsouth,PBR,2,6,30,6-30,True,0.010319402827536694,300,-1,N/A,,False
