Graph,Reward,Step,Node_U,Node_V,Edge,WasAdded,StepReward,AgentAction,GreedyAction,GreedyEdge,GreedyReward,AgentMatchedGreedy
Garr199901,PBR,1,3,11,3-11,True,0.05303627545288342,41,-1,N/A,,False
Garr199901,PBR,2,0,5,0-5,True,0.0527434264074096,3,-1,N/A,,False
Garr199901,EFFRES,1,3,6,3-6,True,0.24330265654721675,37,-1,N/A,,False
Garr199901,EFFRES,2,0,5,0-5,True,0.25068036802174865,3,-1,N/A,,False
Garr199901,IVI,1,13,14,13-14,True,1.8873317835017893,99,-1,N/A,,False
Garr199901,IVI,2,0,5,0-5,True,0.7969879559112406,3,-1,N/A,,False
Garr199901,NNSI,1,7,11,7-11,True,0.0,72,-1,N/A,,False
Garr199901,NNSI,2,0,5,0-5,True,-1.75,3,-1,N/A,,False
Netrail,PBR,1,0,5,0-5,True,0.05148981114109909,3,-1,N/A,,False
Netrail,PBR,2,1,3,1-3,True,0.08092420190502528,4,-1,N/A,,False
Netrail,EFFRES,1,2,6,2-6,True,0.14252429847605166,8,-1,N/A,,False
Netrail,EFFRES,2,0,5,0-5,True,0.574003653624904,3,-1,N/A,,False
Netrail,IVI,1,3,6,3-6,True,-2.76155146109849,10,-1,N/A,,False
Netrail,IVI,2,0,5,0-5,True,-0.03881702536436338,3,-1,N/A,,False
Netrail,NNSI,1,0,3,0-3,True,0.0,2,-1,N/A,,False
Netrail,NNSI,2,1,3,1-3,True,-2.0,4,-1,N/A,,False
Ans,PBR,1,0,15,0-15,True,-0.0032622668776853825,12,-1,N/A,,False
Ans,PBR,2,0,6,0-6,True,-0.019695754388081233,3,-1,N/A,,False
Ans,PBR,3,2,17,2-17,True,-0.01580052458421783,39,-1,N/A,,False
Ans,EFFRES,1,1,14,1-14,True,0.14090844391323745,24,-1,N/A,,False
Ans,EFFRES,2,0,6,0-6,True,0.14914170082624223,3,-1,N/A,,False
Ans,EFFRES,3,2,17,2-17,True,0.12358563670808258,39,-1,N/A,,False
Ans,IVI,1,4,12,4-12,True,4.04090852367052,59,-1,N/A,,False
Ans,IVI,2,0,6,0-6,True,-0.4499999347500072,3,-1,N/A,,False
Ans,IVI,3,2,16,2-16,True,1.9953579010030325,38,-1,N/A,,False
Ans,NNSI,1,1,9,1-9,True,1.4076933271674008,19,-1,N/A,,False
Ans,NNSI,2,0,6,0-6,True,-0.1698101879550027,3,-1,N/A,,False
Ans,NNSI,3,2,17,2-17,True,0.4619314278925257,39,-1,N/A,,False
PionierL3,PBR,1,13,19,13-19,True,-0.01415961116552047,384,-1,N/A,,False
PionierL3,PBR,2,31,37,31-37,True,0.010708938740654705,644,-1,N/A,,False
PionierL3,PBR,3,9,29,9-29,True,0.011244174646003004,299,-1,N/A,,False
PionierL3,PBR,4,4,10,4-10,True,-0.004195426101317002,138,-1,N/A,,False
PionierL3,PBR,5,5,37,5-37,True,0.012366836066928068,195,-1,N/A,,False
PionierL3,EFFRES,1,28,31,28-31,True,0.08539898618462774,620,-1,N/A,,False
PionierL3,EFFRES,2,31,37,31-37,True,0.07681240198939993,644,-1,N/A,,False
PionierL3,EFFRES,3,9,29,9-29,True,0.1632124408713692,299,-1,N/A,,False
PionierL3,EFFRES,4,4,10,4-10,True,0.13789189529984885,138,-1,N/A,,False
PionierL3,EFFRES,5,5,37,5-37,True,0.12969783990157457,195,-1,N/A,,False
PionierL3,IVI,1,1,19,1-19,True,0.0,48,-1,N/A,,False
PionierL3,IVI,2,31,37,31-37,True,0.0,644,-1,N/A,,False
PionierL3,IVI,3,9,30,9-30,True,0.0,300,-1,N/A,,False
PionierL3,IVI,4,4,11,4-11,True,0.0,139,-1,N/A,,False
PionierL3,IVI,5,6,7,6-7,True,5.0,196,-1,N/A,,False
PionierL3,NNSI,1,7,22,7-22,True,0.0,238,-1,N/A,,False
PionierL3,NNSI,2,31,37,31-37,True,0.0,644,-1,N/A,,False
PionierL3,NNSI,3,9,30,9-30,True,0.0,300,-1,N/A,,False
PionierL3,NNSI,4,4,10,4-10,True,0.0,138,-1,N/A,,False
PionierL3,NNSI,5,5,37,5-37,True,0.0,195,-1,N/A,,False
Telecomserbia,PBR,1,0,3,0-3,True,-0.006185666040519063,1,-1,N/A,,False
Telecomserbia,PBR,2,1,4,1-4,True,0.03452380954408986,4,-1,N/A,,False
Telecomserbia,EFFRES,1,1,4,1-4,True,-0.5017845087278342,4,-1,N/A,,False
Telecomserbia,EFFRES,2,1,3,1-3,True,0.17545762655069397,3,-1,N/A,,False
Telecomserbia,IVI,1,1,4,1-4,True,-0.999999995,4,-1,N/A,,False
Telecomserbia,IVI,2,1,3,1-3,True,-0.49426162005162366,3,-1,N/A,,False
Telecomserbia,NNSI,1,2,5,2-5,True,-4.0,7,-1,N/A,,False
Telecomserbia,NNSI,2,1,3,1-3,True,0.0,3,-1,N/A,,False
Ulaknet,PBR,1,58,67,58-67,True,0.07097653367766987,2995,-1,N/A,,False
Ulaknet,PBR,2,50,56,50-56,True,0.06928112231586242,2780,-1,N/A,,False
Ulaknet,PBR,3,24,48,24-48,True,0.06764556724125438,1667,-1,N/A,,False
Ulaknet,PBR,4,38,51,38-51,True,0.06606708435983537,2348,-1,N/A,,False
Ulaknet,PBR,5,16,19,16-19,True,0.06454304958345206,1162,-1,N/A,,False
Ulaknet,PBR,6,25,56,25-56,True,0.059675591155109016,1730,-1,N/A,,False
Ulaknet,PBR,7,35,78,35-78,True,0.061686992576129106,2245,-1,N/A,,False
Ulaknet,PBR,8,39,56,39-56,True,0.05367232025774586,2394,-1,N/A,,False
Ulaknet,PBR,9,41,70,41-70,True,0.05905418296581963,2488,-1,N/A,,False
Ulaknet,EFFRES,1,42,61,42-61,True,0.00715438642411439,2517,-1,N/A,,False
Ulaknet,EFFRES,2,24,48,24-48,True,0.0072059405070513715,1667,-1,N/A,,False
Ulaknet,EFFRES,3,38,51,38-51,True,0.029579869124012576,2348,-1,N/A,,False
Ulaknet,EFFRES,4,16,19,16-19,True,0.007479485166447515,1162,-1,N/A,,False
Ulaknet,EFFRES,5,25,56,25-56,True,0.007535849440554224,1730,-1,N/A,,False
Ulaknet,EFFRES,6,35,78,35-78,True,0.02106164077769056,2245,-1,N/A,,False
Ulaknet,EFFRES,7,39,56,39-56,True,0.01747347183868509,2394,-1,N/A,,False
Ulaknet,EFFRES,8,41,70,41-70,True,0.021132410026449763,2488,-1,N/A,,False
Ulaknet,EFFRES,9,13,24,13-24,True,0.007056703283369932,972,-1,N/A,,False
Ulaknet,IVI,1,3,74,3-74,True,5.0,307,-1,N/A,,False
