SizeBucket,Metric,EFFRES,IVI,NNSI,PBR
Large,ASPL,6.002399256319629,5.948080936853104,5.992511967939894,5.908928509341235
Large,ArticulationPoints,10.68,10.68,11.96,10.4
Large,Assortativity,-0.145473337793408,-0.14490687614155537,-0.14267087272262374,-0.14533004283971868
Large,AvgClustering,0.048055053620538433,0.050002098599232936,0.0494491787428623,0.045292113344169944
Large,AvgNodeConn,1.9066354146627,1.909068579045009,1.89197924263577,1.9247395300298396
Large,BetCentralization,32.55190045132075,34.4538187717928,32.30618453583363,33.43360525543351
Large,Bridges,22.28,22.36,23.56,22.04
Large,Diameter,13.72,13.8,13.88,13.4
Large,EffResistance,25466.749867937117,25235.367621113433,25791.70436537114,24855.614954689103
Large,GCC_5%,0.836352711611668,0.8503964183293857,0.8398603517135694,0.8496102157756222
Large,NatConnectivity,1.3055005647326636,1.3078569574203298,1.3054554568781795,1.3039522185156998
Large,λ₂,0.025593154883246063,0.02680352422022376,0.025901643934917853,0.02918565901441463
Medium,ASPL,4.008943204306063,4.01676972346047,4.028745266517569,4.013130062697307
Medium,ArticulationPoints,10.2,10.2,10.2,10.2
Medium,Assortativity,-0.2481785962477205,-0.2390001458508652,-0.24588978599020284,-0.23276063006413128
Medium,AvgClustering,0.07839322432772723,0.07909252466333683,0.08056914939967648,0.07722131765702665
Medium,AvgNodeConn,1.3152240195995772,1.3178079100074567,1.304358505122048,1.314753637247619
Medium,BetCentralization,23.828981803586203,23.95465835879403,24.25841108507094,23.710134650155656
Medium,Bridges,21.36,21.0,21.48,21.0
Medium,Diameter,8.48,8.64,8.56,8.64
Medium,EffResistance,4238.344524933662,4233.025468244811,4281.320132654488,4241.378057776959
Medium,GCC_5%,0.8115199972656932,0.8234312916030561,0.8067834303990558,0.8120914214097418
Medium,NatConnectivity,1.5854039227362373,1.5814247103219525,1.585382911808769,1.576512294850017
Medium,λ₂,0.07046198731719625,0.06749295012720338,0.06585829642323898,0.06767045085106813
Small,ASPL,2.540551210994292,2.5323709233549208,2.5373234944106273,2.5300356847481407
Small,ArticulationPoints,2.36,2.44,2.4,2.28
Small,Assortativity,-0.311548579749282,-0.29005732691534664,-0.30638285305346125,-0.2725895357493501
Small,AvgClustering,0.23268709343914418,0.2308866106937084,0.20071150111214653,0.1891939970888226
Small,AvgNodeConn,1.32,1.36,1.32,1.36
Small,BetCentralization,7.790896670329174,7.932971627469228,7.549038701184964,7.555940819412682
Small,Bridges,4.08,3.96,3.92,3.8
Small,Diameter,5.0,4.84,4.84,4.8
Small,EffResistance,331.3264683592398,331.10279778447824,328.6705917723973,326.4212206432133
Small,GCC_5%,0.894034983034983,0.8947698315198316,0.8891713466713466,0.9015198315198316
Small,NatConnectivity,1.4586071660497157,1.4634549533654109,1.455300541782768,1.4468746251113864
Small,λ₂,0.22673482528009384,0.21892604554980155,0.24403749499348087,0.24103420840929007
