Graph,Reward,Step,Node_U,Node_V,Edge,WasAdded,StepReward,AgentAction,GreedyAction,GreedyEdge,GreedyReward,AgentMatchedGreedy
Ntelos,NNSI,2,7,14,7-14,True,-0.3019521806573211,299,-1,N/A,,False
Ntelos,NNSI,3,4,29,4-29,True,-0.10810567044613428,194,-1,N/A,,False
Ntelos,NNSI,4,8,22,8-22,True,-0.998369331248214,343,-1,N/A,,False
Ntelos,NNSI,5,10,47,10-47,True,0.3932089103921754,437,-1,N/A,,False
Ntelos,NNSI,6,33,34,33-34,True,-0.31208921630711384,977,-1,N/A,,False
Garr201007,PBR,1,2,19,2-19,True,-0.009048550674395306,121,-1,N/A,,False
Garr201007,PBR,2,5,54,5-54,True,0.017635684089983582,300,-1,N/A,,False
Garr201007,PBR,3,31,42,31-42,True,-0.03439722930849791,1164,-1,N/A,,False
Garr201007,PBR,4,3,44,3-44,True,0.017950359566041563,195,-1,N/A,,False
Garr201007,PBR,5,6,52,6-52,True,0.012774181055978672,344,-1,N/A,,False
Garr201007,PBR,6,9,14,9-14,True,0.01784373166616946,438,-1,N/A,,False
Garr201007,PBR,7,24,26,24-26,True,0.017783595799270357,977,-1,N/A,,False
Garr201007,EFFRES,1,28,38,28-38,True,0.03596474867305866,1094,-1,N/A,,False
Garr201007,EFFRES,2,5,53,5-53,True,0.042947479503624326,299,-1,N/A,,False
Garr201007,EFFRES,3,31,42,31-42,True,-0.06694786403470256,1164,-1,N/A,,False
Garr201007,EFFRES,4,3,43,3-43,True,0.036738807379093345,194,-1,N/A,,False
Garr201007,EFFRES,5,6,51,6-51,True,0.0618931112076087,343,-1,N/A,,False
Garr201007,EFFRES,6,9,13,9-13,True,0.05471285769681475,437,-1,N/A,,False
Garr201007,EFFRES,7,24,25,24-25,True,0.049991078356563495,976,-1,N/A,,False
Garr201007,IVI,1,4,13,4-13,True,-5.0,212,-1,N/A,,False
Garr201007,IVI,2,5,54,5-54,True,5.0,300,-1,N/A,,False
Garr201007,IVI,3,31,42,31-42,True,5.0,1164,-1,N/A,,False
Garr201007,IVI,4,3,43,3-43,True,0.0,194,-1,N/A,,False
Garr201007,IVI,5,6,52,6-52,True,0.0,344,-1,N/A,,False
Garr201007,IVI,6,9,14,9-14,True,0.0,438,-1,N/A,,False
Garr201007,IVI,7,24,26,24-26,True,5.0,977,-1,N/A,,False
Garr201007,NNSI,1,8,24,8-24,True,0.1105031882991181,407,-1,N/A,,False
Garr201007,NNSI,2,5,53,5-53,True,0.09286900519411923,299,-1,N/A,,False
Garr201007,NNSI,3,31,42,31-42,True,-0.13550536344711173,1164,-1,N/A,,False
Garr201007,NNSI,4,3,43,3-43,True,0.05135218052098445,194,-1,N/A,,False
Garr201007,NNSI,5,6,51,6-51,True,-0.03453092989066597,343,-1,N/A,,False
Garr201007,NNSI,6,9,14,9-14,True,-0.07955005860109843,438,-1,N/A,,False
Garr201007,NNSI,7,24,26,24-26,True,-0.0466621953624875,977,-1,N/A,,False
Roedunet,PBR,1,2,30,2-30,True,0.01996619261984729,102,-1,N/A,,False
Roedunet,PBR,2,22,24,22-24,True,-0.010250744005639389,644,-1,N/A,,False
Roedunet,PBR,3,4,11,4-11,True,-0.06760138839446096,153,-1,N/A,,False
Roedunet,PBR,4,37,38,37-38,True,0.02001448570314286,808,-1,N/A,,False
Roedunet,PBR,5,8,31,8-31,True,-0.025236797882790485,301,-1,N/A,,False
Roedunet,EFFRES,1,5,23,5-23,True,0.02389570499168454,191,-1,N/A,,False
Roedunet,EFFRES,2,22,24,22-24,True,0.022070784716400504,644,-1,N/A,,False
Roedunet,EFFRES,3,36,41,36-41,True,0.022541571454341117,807,-1,N/A,,False
Roedunet,EFFRES,4,8,30,8-30,True,0.026017058422789806,300,-1,N/A,,False
Roedunet,EFFRES,5,3,28,3-28,True,0.0413507194746305,138,-1,N/A,,False
Roedunet,IVI,1,14,32,14-32,True,5.0,476,-1,N/A,,False
Roedunet,IVI,2,22,24,22-24,True,5.0,644,-1,N/A,,False
Roedunet,IVI,3,36,41,36-41,True,0.0,807,-1,N/A,,False
Roedunet,IVI,4,8,29,8-29,True,5.0,299,-1,N/A,,False
Roedunet,IVI,5,3,28,3-28,True,0.0,138,-1,N/A,,False
Roedunet,NNSI,1,37,39,37-39,True,-0.833333333333333,809,-1,N/A,,False
Roedunet,NNSI,2,22,23,22-23,True,-0.35087719298245634,643,-1,N/A,,False
Roedunet,NNSI,3,36,39,36-39,True,-0.3157894736842106,806,-1,N/A,,False
Roedunet,NNSI,4,8,29,8-29,True,-0.2857142857142856,299,-1,N/A,,False
Roedunet,NNSI,5,3,28,3-28,True,-0.6006493506493511,138,-1,N/A,,False
RedBestel,PBR,1,25,51,25-51,True,0.0008968065821154513,1749,-1,N/A,,False
RedBestel,PBR,2,24,25,24-25,True,-0.0029563546033093413,1667,-1,N/A,,False
RedBestel,PBR,3,37,45,37-45,True,0.0009072929088325249,2349,-1,N/A,,False
RedBestel,PBR,4,15,71,15-71,True,0.0009525313291357976,1162,-1,N/A,,False
RedBestel,PBR,5,25,32,25-32,True,-0.002931621774600767,1730,-1,N/A,,False
RedBestel,PBR,6,34,76,34-76,True,0.0010492703338304994,2246,-1,N/A,,False
RedBestel,PBR,7,38,47,38-47,True,-0.0028437273121972514,2395,-1,N/A,,False
RedBestel,PBR,8,40,57,40-57,True,-0.002783273390806528,2489,-1,N/A,,False
RedBestel,PBR,9,12,81,12-81,True,0.005252957425268035,972,-1,N/A,,False
RedBestel,PBR,10,16,72,16-72,True,0.0013799221894835074,1228,-1,N/A,,False
RedBestel,EFFRES,1,25,51,25-51,True,0.14227332086690253,1749,-1,N/A,,False
RedBestel,EFFRES,2,24,25,24-25,True,0.008628997477804197,1667,-1,N/A,,False
RedBestel,EFFRES,3,37,45,37-45,True,0.11740266730150506,2349,-1,N/A,,False
RedBestel,EFFRES,4,15,71,15-71,True,0.06250694100726599,1162,-1,N/A,,False
RedBestel,EFFRES,5,25,32,25-32,True,0.06416322889596751,1730,-1,N/A,,False
RedBestel,EFFRES,6,34,76,34-76,True,0.03620902732261312,2246,-1,N/A,,False
RedBestel,EFFRES,7,38,47,38-47,True,0.10474540024701143,2395,-1,N/A,,False
RedBestel,EFFRES,8,40,57,40-57,True,0.2045229523869769,2489,-1,N/A,,False
RedBestel,EFFRES,9,12,81,12-81,True,0.11195188378698748,972,-1,N/A,,False
RedBestel,EFFRES,10,16,72,16-72,True,0.04491407228913054,1228,-1,N/A,,False
RedBestel,IVI,1,25,51,25-51,True,0.0,1749,-1,N/A,,False
RedBestel,IVI,2,24,25,24-25,True,0.0,1667,-1,N/A,,False
RedBestel,IVI,3,37,45,37-45,True,5.0,2349,-1,N/A,,False
RedBestel,IVI,4,15,71,15-71,True,-5.0,1162,-1,N/A,,False
RedBestel,IVI,5,25,32,25-32,True,5.0,1730,-1,N/A,,False
RedBestel,IVI,6,34,76,34-76,True,-5.0,2246,-1,N/A,,False
RedBestel,IVI,7,38,47,38-47,True,0.0,2395,-1,N/A,,False
RedBestel,IVI,8,40,57,40-57,True,0.0,2489,-1,N/A,,False
RedBestel,IVI,9,12,81,12-81,True,5.0,972,-1,N/A,,False
RedBestel,IVI,10,16,72,16-72,True,0.0,1228,-1,N/A,,False
RedBestel,NNSI,1,25,51,25-51,True,-0.6865655225768941,1749,-1,N/A,,False
RedBestel,NNSI,2,24,25,24-25,True,0.08992660188870083,1667,-1,N/A,,False
RedBestel,NNSI,3,37,45,37-45,True,-0.27927441650039686,2349,-1,N/A,,False
RedBestel,NNSI,4,15,71,15-71,True,0.042303192992227956,1162,-1,N/A,,False
RedBestel,NNSI,5,25,32,25-32,True,-1.9162048211596199,1730,-1,N/A,,False
RedBestel,NNSI,6,34,76,34-76,True,0.0,2246,-1,N/A,,False
RedBestel,NNSI,7,38,47,38-47,True,-0.4460876274065848,2395,-1,N/A,,False
RedBestel,NNSI,8,40,57,40-57,True,-0.899362106986338,2489,-1,N/A,,False
RedBestel,NNSI,9,12,81,12-81,True,0.0,972,-1,N/A,,False
RedBestel,NNSI,10,16,72,16-72,True,0.0,1228,-1,N/A,,False
Oteglobe,PBR,1,8,49,8-49,True,0.0005897467574857099,734,-1,N/A,,False
Oteglobe,PBR,2,20,72,20-72,True,-0.002649096187165001,1668,-1,N/A,,False
Oteglobe,PBR,3,67,82,67-82,True,-0.002550254468611556,3879,-1,N/A,,False
Oteglobe,PBR,4,31,42,31-42,True,-0.012422709150250877,2349,-1,N/A,,False
Oteglobe,PBR,5,13,78,13-78,True,0.004305110987988704,1163,-1,N/A,,False
Oteglobe,PBR,6,29,60,29-60,True,0.00440266774620115,2245,-1,N/A,,False
Oteglobe,PBR,7,33,70,33-70,True,0.0011792903955536007,2487,-1,N/A,,False
Oteglobe,PBR,8,11,45,11-45,True,0.007922920540409351,973,-1,N/A,,False
Oteglobe,PBR,9,59,73,59-73,True,0.0013758687159143301,3643,-1,N/A,,False
Oteglobe,PBR,10,14,68,14-68,True,0.0048011760058981005,1229,-1,N/A,,False
Oteglobe,PBR,11,2,21,2-21,True,-0.001747906670457244,197,-1,N/A,,False
Oteglobe,EFFRES,1,84,90,84-90,True,0.018540659236042072,4146,-1,N/A,,False
Oteglobe,EFFRES,2,20,71,20-71,True,0.2050034539435303,1667,-1,N/A,,False
Oteglobe,EFFRES,3,67,81,67-81,True,0.0714065291266338,3878,-1,N/A,,False
Oteglobe,EFFRES,4,31,41,31-41,True,-0.01854122012900801,2348,-1,N/A,,False
Oteglobe,EFFRES,5,13,77,13-77,True,0.08685948655365795,1162,-1,N/A,,False
Oteglobe,EFFRES,6,29,59,29-59,True,0.045207370133966654,2244,-1,N/A,,False
Oteglobe,EFFRES,7,33,69,33-69,True,0.07255337954832276,2486,-1,N/A,,False
Oteglobe,EFFRES,8,11,44,11-44,True,0.040625514143110615,972,-1,N/A,,False
Oteglobe,EFFRES,9,59,72,59-72,True,0.03806628043463216,3642,-1,N/A,,False
Oteglobe,EFFRES,10,14,67,14-67,True,0.04252936075908427,1228,-1,N/A,,False
Oteglobe,EFFRES,11,2,21,2-21,True,0.06321518628957232,197,-1,N/A,,False
Oteglobe,IVI,1,5,48,5-48,True,0.0,482,-1,N/A,,False
Oteglobe,IVI,2,20,72,20-72,True,0.0,1668,-1,N/A,,False
Oteglobe,IVI,3,67,82,67-82,True,0.0,3879,-1,N/A,,False
Oteglobe,IVI,4,31,42,31-42,True,0.0,2349,-1,N/A,,False
Oteglobe,IVI,5,13,78,13-78,True,0.0,1163,-1,N/A,,False
Oteglobe,IVI,6,29,60,29-60,True,0.0,2245,-1,N/A,,False
Oteglobe,IVI,7,33,70,33-70,True,0.0,2487,-1,N/A,,False
Oteglobe,IVI,8,11,45,11-45,True,5.0,973,-1,N/A,,False
