SizeBucket,Metric,EFFRES,IVI,NNSI,PBR
Large,ASPL,-35.35217559790077,-35.925035089730194,-35.29600793525528,-36.22030816229185
Large,ArticulationPoints,-32.94805192653996,-32.21471859436774,-31.509956688587355,-33.82077919899469
Large,Assortativity,29.25678166117629,35.165840329436236,51.52595664582052,27.644375651238533
Large,AvgClustering,66.17647019633496,67.41427177091049,107.98728155605528,61.26569558164458
Large,AvgNodeConn,18.653553638842478,18.951469915254723,17.82195111298345,19.675226818772213
Large,BetCentralization,-42.221290853027,-38.15973367654298,-41.54042829591351,-40.31415193149096
Large,Bridges,-27.961331097078883,-26.973427872514748,-26.509663488423985,-28.818454267227917
Large,Diameter,-45.6102459925347,-44.97764095093667,-45.18965775743615,-46.289657757141505
Large,EffResistance,-50.073573897386,-50.307708104669594,-50.01456860777014,-51.11962103094697
Large,GCC_5%,36.66066094366289,39.177499678930495,37.19196528264221,39.77396965658077
Large,NatConnectivity,8.278577988981263,8.456841833746873,8.2384676602223,8.124921462886107
Large,λ₂,527.638908018082,561.3378479874905,542.1479429993177,609.9122768791037
Medium,ASPL,-13.060143170462588,-12.707078411539236,-12.380031085236078,-12.685637299687421
Medium,ArticulationPoints,-24.40670984898688,-24.114548146866486,-24.1960446697684,-23.81034969660118
Medium,Assortativity,0.31413687607181046,-3.7859092446092983,10.041521591940109,16.63367517214994
Medium,AvgClustering,60449030.84235311,45023785.201346636,49125081.3553933,26151757.948137842
Medium,AvgNodeConn,14.350418438433605,14.645097715648962,13.53125272527396,14.339023758500634
Medium,BetCentralization,-19.086040192481168,-18.298379156922447,-17.56961184234063,-18.99823037380004
Medium,Bridges,-31.298057971374902,-31.750952590325554,-29.882068794733605,-30.95605521461404
Medium,Diameter,-14.604350641977588,-12.948588635560512,-13.215945314275158,-12.63723086051286
Medium,EffResistance,-26.753207817407105,-26.422262600915584,-25.37794653969424,-25.9009948284364
Medium,GCC_5%,33.38420888582276,32.62690418308662,30.343341574619235,30.691689769576293
Medium,NatConnectivity,9.090343833062231,8.958821160117681,9.161722372654388,8.578315285349463
Medium,λ₂,100.56814778008166,94.88240777311881,90.79738527184823,99.75262384883666
Small,ASPL,-9.430870264835365,-9.57050674580623,-9.711073950043337,-9.821706920157647
Small,ArticulationPoints,-20.54212447703807,-21.516483418382577,-20.06593400136913,-24.437362537881377
Small,AvgClustering,792673591.66997,813208733.6606712,476601439.09942526,504971800.1252172
Small,AvgNodeConn,7.999999920000001,11.999999880000003,7.999999920000001,11.999999880000003
Small,BetCentralization,-7.497484976328545,-5.921007501821281,-12.834218866735409,-13.4873038126538
Small,Bridges,-24.441528320724228,-29.25691289504658,-26.237154259019817,-32.12931107877689
Small,Diameter,-8.67460316091966,-10.774603159074285,-12.296825374009781,-11.896825377432004
Small,EffResistance,-21.710344472891443,-21.90136832948835,-22.461198539545492,-23.74251111915221
Small,GCC_5%,7.171133940411881,7.67245639674577,6.790259913234995,9.639164557994281
Small,NatConnectivity,19.29634832547859,19.651201317554882,18.463319321485866,18.092208233311577
Small,λ₂,41.938603127896286,35.92874734755933,43.90790093978976,47.30836988869975
