SizeBucket,Metric,CI_95_High,CI_95_High,CI_95_High,CI_95_High,CI_95_Low,CI_95_Low,CI_95_Low,CI_95_Low
,,EFFRES,IVI,NNSI,PBR,EFFRES,IVI,NNSI,PBR
Small,ASPL,2.5229360033436903,2.5605955926783768,2.6992832399857445,2.3773905783547287,2.2126873533746787,2.2349614711014567,2.3119856431424086,2.1154376227446656
Small,ASPLVariance,0.7715708057114334,0.9445990970737083,1.417316330131913,0.7170751136274491,0.6029779563303457,0.6893871164890125,0.8415584852860585,0.5483007570628229
Small,ArticulationPoints,1.5397391037193635,2.0963659944510677,3.6234181248772295,4.179943127216365,0.8202608962806364,0.9836340055489324,1.69658187512277,2.5400568727836355
Small,Assortativity,-0.31326931409463626,-0.26666865096198245,-0.2257849774556665,-0.345860238606996,-0.3986194706086715,-0.4063510481500626,-0.3601526415330806,-0.42650755365993753
Small,AttackCurveAUC,0.17158894946416975,0.15374551246112014,0.15351063850406046,0.13470226063247914,0.1563641693769124,0.13430972909954622,0.13306716014277528,0.11684825604122916
Small,AvgClustering,0.2073505578827207,0.33109221468322586,0.37216046161926136,0.3936146211490255,0.061638278474194924,0.18375283675421333,0.21072429358668004,0.2774239037789545
Small,AvgNodeConn,2.2140061388684846,1.9605800351534486,1.9179540986539927,1.6284052579801795,1.9719667393379754,1.6976438289636089,1.584770642938239,1.416698723204192
Small,BetCentralization,9.363985783324727,13.749660952635772,12.80930169967313,17.529233023000348,6.46652472093885,8.609811490326333,8.730298657725589,12.576975477938493
Small,Bridges,3.6139284266847485,4.4981155612419546,6.713490917342844,8.61491822479708,1.7060715733152518,2.061884438758045,3.406509082657157,5.10508177520292
Small,Diameter,4.302575551777173,4.821563871542335,5.329786416474286,4.306069638053637,3.617424448222826,4.018436128457665,4.230213583525713,3.4939303619463624
Small,EdgeConn,1.7224278552214551,1.7313570437970502,1.6686112397309942,1.3222743199474154,1.397572144778545,1.3486429562029498,1.3313887602690058,1.037725680052585
Small,EffResistance,452.6581234167802,517.6445336597761,557.8545569786289,566.0859353015203,276.43080538908293,300.3419085401314,346.5452217072604,344.890276218986
Small,Efficiency,0.5592323452110792,0.558943519841583,0.5536754535959298,0.5729728482376121,0.4829070177028589,0.48394781055514347,0.4759631309879149,0.5033579202814814
Small,GCC_10%,0.889174799030899,0.804562801093601,0.7740805719197211,0.670854564232367,0.7891031182129625,0.6671740789152558,0.6316603091277612,0.5381470114326982
Small,GCC_5%,0.9424992328810252,0.9035231125168578,0.9059068924087221,0.8531416226292005,0.8693035520157707,0.8129910624197901,0.8106073626428643,0.7571114349438565
Small,NatConnectivity,1.619138296882121,1.827648138806484,1.8934051689458518,2.142588885093283,1.370964469931589,1.5658059657633632,1.637309600971687,1.8419456684942266
Small,RobustnessCoeff,0.2952460251112812,0.27199044659574323,0.274261760173402,0.24525267802222794,0.24070309575505014,0.21159279865789643,0.21870537768621728,0.18715390301859747
Small,SpectralGap,0.36475547965435395,0.34341650285002323,0.30716204594351415,0.37447110734117484,0.2833996705473697,0.23694732001173088,0.20113338793993296,0.2480227975870294
Small,Transitivity,0.15610991019895518,0.2375002521533771,0.26904876985923587,0.28774106224938123,0.04572222722760791,0.11642443005801517,0.14942731626361538,0.18139652338610646
Small,λ₂,0.36475547965435395,0.34341650285002323,0.30716204594351415,0.37447110734117484,0.2833996705473697,0.23694732001173088,0.20113338793993296,0.2480227975870294
Small,λ₂_λₙ_Ratio,0.2025131737071663,0.1944846999882708,0.17605097510988676,0.21287325006200739,0.14944880404609914,0.129123291618481,0.10947310406677287,0.13800082418288687
