Graph,N,M,Orig_λ₂,Orig_AvgNodeConn,Orig_EdgeConn,Orig_SpectralGap,Orig_GCC_5%,Orig_GCC_10%,Orig_AttackCurveAUC,Orig_RobustnessCoeff,Orig_ASPL,Orig_Diameter,Orig_Efficiency,Orig_ASPLVariance,Orig_ArticulationPoints,Orig_Bridges,Orig_BetCentralization,Orig_NatConnectivity,Orig_EffResistance,Orig_λ₂_λₙ_Ratio,Orig_Assortativity,Orig_AvgClustering,Orig_Transitivity,BudgetEdges,PBR_λ₂,PBR_AvgNodeConn,PBR_EdgeConn,PBR_SpectralGap,PBR_GCC_5%,PBR_GCC_10%,PBR_AttackCurveAUC,PBR_RobustnessCoeff,PBR_ASPL,PBR_Diameter,PBR_Efficiency,PBR_ASPLVariance,PBR_ArticulationPoints,PBR_Bridges,PBR_BetCentralization,PBR_NatConnectivity,PBR_EffResistance,PBR_λ₂_λₙ_Ratio,PBR_Assortativity,PBR_AvgClustering,PBR_Transitivity,EFFRES_λ₂,EFFRES_AvgNodeConn,EFFRES_EdgeConn,EFFRES_SpectralGap,EFFRES_GCC_5%,EFFRES_GCC_10%,EFFRES_AttackCurveAUC,EFFRES_RobustnessCoeff,EFFRES_ASPL,EFFRES_Diameter,EFFRES_Efficiency,EFFRES_ASPLVariance,EFFRES_ArticulationPoints,EFFRES_Bridges,EFFRES_BetCentralization,EFFRES_NatConnectivity,EFFRES_EffResistance,EFFRES_λ₂_λₙ_Ratio,EFFRES_Assortativity,EFFRES_AvgClustering,EFFRES_Transitivity,IVI_λ₂,IVI_AvgNodeConn,IVI_EdgeConn,IVI_SpectralGap,IVI_GCC_5%,IVI_GCC_10%,IVI_AttackCurveAUC,IVI_RobustnessCoeff,IVI_ASPL,IVI_Diameter,IVI_Efficiency,IVI_ASPLVariance,IVI_ArticulationPoints,IVI_Bridges,IVI_BetCentralization,IVI_NatConnectivity,IVI_EffResistance,IVI_λ₂_λₙ_Ratio,IVI_Assortativity,IVI_AvgClustering,IVI_Transitivity,NNSI_λ₂,NNSI_AvgNodeConn,NNSI_EdgeConn,NNSI_SpectralGap,NNSI_GCC_5%,NNSI_GCC_10%,NNSI_AttackCurveAUC,NNSI_RobustnessCoeff,NNSI_ASPL,NNSI_Diameter,NNSI_Efficiency,NNSI_ASPLVariance,NNSI_ArticulationPoints,NNSI_Bridges,NNSI_BetCentralization,NNSI_NatConnectivity,NNSI_EffResistance,NNSI_λ₂_λₙ_Ratio,NNSI_Assortativity,NNSI_AvgClustering,NNSI_Transitivity,%Δ_PBR_vs_Orig_λ₂,%Δ_EFFRES_vs_Orig_λ₂,%Δ_IVI_vs_Orig_λ₂,%Δ_NNSI_vs_Orig_λ₂,%Δ_PBR_vs_Orig_AvgNodeConn,%Δ_EFFRES_vs_Orig_AvgNodeConn,%Δ_IVI_vs_Orig_AvgNodeConn,%Δ_NNSI_vs_Orig_AvgNodeConn,%Δ_PBR_vs_Orig_EdgeConn,%Δ_EFFRES_vs_Orig_EdgeConn,%Δ_IVI_vs_Orig_EdgeConn,%Δ_NNSI_vs_Orig_EdgeConn,%Δ_PBR_vs_Orig_SpectralGap,%Δ_EFFRES_vs_Orig_SpectralGap,%Δ_IVI_vs_Orig_SpectralGap,%Δ_NNSI_vs_Orig_SpectralGap,%Δ_PBR_vs_Orig_GCC_5%,%Δ_EFFRES_vs_Orig_GCC_5%,%Δ_IVI_vs_Orig_GCC_5%,%Δ_NNSI_vs_Orig_GCC_5%,%Δ_PBR_vs_Orig_GCC_10%,%Δ_EFFRES_vs_Orig_GCC_10%,%Δ_IVI_vs_Orig_GCC_10%,%Δ_NNSI_vs_Orig_GCC_10%,%Δ_PBR_vs_Orig_AttackCurveAUC,%Δ_EFFRES_vs_Orig_AttackCurveAUC,%Δ_IVI_vs_Orig_AttackCurveAUC,%Δ_NNSI_vs_Orig_AttackCurveAUC,%Δ_PBR_vs_Orig_RobustnessCoeff,%Δ_EFFRES_vs_Orig_RobustnessCoeff,%Δ_IVI_vs_Orig_RobustnessCoeff,%Δ_NNSI_vs_Orig_RobustnessCoeff,%Δ_PBR_vs_Orig_ASPL,%Δ_EFFRES_vs_Orig_ASPL,%Δ_IVI_vs_Orig_ASPL,%Δ_NNSI_vs_Orig_ASPL,%Δ_PBR_vs_Orig_Diameter,%Δ_EFFRES_vs_Orig_Diameter,%Δ_IVI_vs_Orig_Diameter,%Δ_NNSI_vs_Orig_Diameter,%Δ_PBR_vs_Orig_Efficiency,%Δ_EFFRES_vs_Orig_Efficiency,%Δ_IVI_vs_Orig_Efficiency,%Δ_NNSI_vs_Orig_Efficiency,%Δ_PBR_vs_Orig_ASPLVariance,%Δ_EFFRES_vs_Orig_ASPLVariance,%Δ_IVI_vs_Orig_ASPLVariance,%Δ_NNSI_vs_Orig_ASPLVariance,%Δ_PBR_vs_Orig_ArticulationPoints,%Δ_EFFRES_vs_Orig_ArticulationPoints,%Δ_IVI_vs_Orig_ArticulationPoints,%Δ_NNSI_vs_Orig_ArticulationPoints,%Δ_PBR_vs_Orig_Bridges,%Δ_EFFRES_vs_Orig_Bridges,%Δ_IVI_vs_Orig_Bridges,%Δ_NNSI_vs_Orig_Bridges,%Δ_PBR_vs_Orig_BetCentralization,%Δ_EFFRES_vs_Orig_BetCentralization,%Δ_IVI_vs_Orig_BetCentralization,%Δ_NNSI_vs_Orig_BetCentralization,%Δ_PBR_vs_Orig_NatConnectivity,%Δ_EFFRES_vs_Orig_NatConnectivity,%Δ_IVI_vs_Orig_NatConnectivity,%Δ_NNSI_vs_Orig_NatConnectivity,%Δ_PBR_vs_Orig_EffResistance,%Δ_EFFRES_vs_Orig_EffResistance,%Δ_IVI_vs_Orig_EffResistance,%Δ_NNSI_vs_Orig_EffResistance,%Δ_PBR_vs_Orig_λ₂_λₙ_Ratio,%Δ_EFFRES_vs_Orig_λ₂_λₙ_Ratio,%Δ_IVI_vs_Orig_λ₂_λₙ_Ratio,%Δ_NNSI_vs_Orig_λ₂_λₙ_Ratio,%Δ_PBR_vs_Orig_Assortativity,%Δ_EFFRES_vs_Orig_Assortativity,%Δ_IVI_vs_Orig_Assortativity,%Δ_NNSI_vs_Orig_Assortativity,%Δ_PBR_vs_Orig_AvgClustering,%Δ_EFFRES_vs_Orig_AvgClustering,%Δ_IVI_vs_Orig_AvgClustering,%Δ_NNSI_vs_Orig_AvgClustering,%Δ_PBR_vs_Orig_Transitivity,%Δ_EFFRES_vs_Orig_Transitivity,%Δ_IVI_vs_Orig_Transitivity,%Δ_NNSI_vs_Orig_Transitivity,%Δ_PBR_vs_EFFRES_λ₂,%Δ_PBR_vs_EFFRES_AvgNodeConn,%Δ_PBR_vs_EFFRES_EdgeConn,%Δ_PBR_vs_EFFRES_SpectralGap,%Δ_PBR_vs_EFFRES_GCC_5%,%Δ_PBR_vs_EFFRES_GCC_10%,%Δ_PBR_vs_EFFRES_AttackCurveAUC,%Δ_PBR_vs_EFFRES_RobustnessCoeff,%Δ_PBR_vs_EFFRES_ASPL,%Δ_PBR_vs_EFFRES_Diameter,%Δ_PBR_vs_EFFRES_Efficiency,%Δ_PBR_vs_EFFRES_ASPLVariance,%Δ_PBR_vs_EFFRES_ArticulationPoints,%Δ_PBR_vs_EFFRES_Bridges,%Δ_PBR_vs_EFFRES_BetCentralization,%Δ_PBR_vs_EFFRES_NatConnectivity,%Δ_PBR_vs_EFFRES_EffResistance,%Δ_PBR_vs_EFFRES_λ₂_λₙ_Ratio,%Δ_PBR_vs_EFFRES_Assortativity,%Δ_PBR_vs_EFFRES_AvgClustering,%Δ_PBR_vs_EFFRES_Transitivity
Iinet,31,35,0.18155876666622833,1.0465116279069768,1.0,0.18155876666622833,0.7666666666666667,0.25,0.08607367128401613,0.11654526534859516,2.821505376344086,5.0,0.4083512544802863,0.7917955833044281,8,23,17.20689655172414,1.3181688516980123,1001.0000000000002,0.09238264096606232,-0.45328719723183386,0.0059139784946236566,0.021739130434782608,8,0.2511257562106884,1.1540284360189574,1.0,0.2511257562106884,0.7666666666666667,0.25,0.08193574024953337,0.11654526534859516,2.4516129032258065,4.0,0.46146953405017826,0.5745404092958722,8,17,21.482758620689655,2.3212203746429685,811.0730198019804,0.13494852220866219,-0.43520222268257297,0.2722680356805994,0.15441176470588236,0.2178294850675618,1.528436018957346,1.0,0.2178294850675618,0.8333333333333334,0.6785714285714286,0.13013885029402272,0.16129032258064513,2.6301075268817202,4.0,0.4363799283154115,0.6717817088680772,5,10,13.717241379310344,1.4537637874812872,685.9144658213091,0.11419470024861642,-0.3421912896762634,0.0059139784946236566,0.01886792452830189,0.20767704170332624,1.1540284360189574,1.0,0.20767704170332624,0.8333333333333334,0.32142857142857145,0.09014756290963188,0.12591050988553587,2.49247311827957,4.0,0.45591397849462273,0.6069325933633947,7,17,20.724137931034484,2.2613413699652267,811.7513742071883,0.11312664260129093,-0.40925093740160856,0.2455980241558989,0.16342412451361868,0.2511257562106884,1.1540284360189574,1.0,0.2511257562106884,0.7666666666666667,0.25,0.08193574024953337,0.11654526534859516,2.4516129032258065,4.0,0.46146953405017826,0.5745404092958722,8,17,21.482758620689655,2.3212203746429685,811.0730198019804,0.13494852220866219,-0.43520222268257297,0.2722680356805994,0.15441176470588236,38.32,19.98,14.39,38.32,10.27,46.05,10.27,10.27,0.0,0.0,0.0,0.0,38.32,19.98,14.39,38.32,0.0,8.7,8.7,0.0,0.0,171.43,28.57,0.0,-4.81,51.19,4.73,-4.81,0.0,38.39,8.04,0.0,13.11,6.78,11.66,13.11,20.0,20.0,20.0,20.0,13.01,6.86,11.65,13.01,27.44,15.16,23.35,27.44,0.0,37.5,12.5,0.0,26.09,56.52,26.09,26.09,-24.85,20.28,-20.44,-24.85,76.09,10.29,71.55,76.09,18.97,31.48,18.91,18.97,46.08,23.61,22.45,46.08,-3.99,-24.51,-9.71,-3.99,4503.8,0.0,4052.83,4503.8,610.29,-13.21,651.75,610.29,15.29,-24.5,0.0,15.29,-8.0,-63.16,-37.04,-27.74,-6.79,0.0,5.75,-14.48,60.0,70.0,56.61,59.67,18.25,18.17,-27.18,4503.8,718.38
Intranetwork,39,51,0.011972193854617327,1.1666666666666667,1.0,0.011972193854617327,1.0,0.6666666666666666,0.14722700646597708,0.17488494411571326,6.286099865047233,16.0,0.2603247461040973,13.364840524439925,13,10,18.16216216216216,1.2321516725421013,2985.901265126538,0.006101576283442484,0.0999999999999997,0.1504273504273504,0.2058823529411765,10,0.08357314710300612,1.5867647058823529,1.0,0.08357314710300612,1.0,0.9166666666666666,0.1519656428296134,0.17488494411571326,3.180836707152497,6.0,0.38430049482680906,1.503060568477146,7,6,29.505405405405398,1.936307461920021,1268.1446943559508,0.04480164163612675,-0.05845207698432289,0.25320512820512825,0.2151898734177215,0.13150768244642247,2.527941176470588,1.0,0.13150768244642247,1.0,1.0,0.19616783645276295,0.2748191978961208,3.349527665317139,7.0,0.3651500546237368,1.4581273072643202,1,1,6.6189189189189195,1.3909861427168178,878.9837998849462,0.06884524883539639,-0.18488181605429427,0.1264957264957265,0.14093959731543626,0.057641104367849694,1.938235294117647,2.0,0.057641104367849694,1.0,0.9166666666666666,0.14057705102925688,0.2149901380670611,3.4116059379217276,7.0,0.36625216888374584,1.8535225221779665,1,0,26.947619047619042,1.605831712222688,1196.538462566236,0.030018888073785926,0.0511395413870247,0.16814296814296814,0.16304347826086957,0.06498679287887175,2.475,2.0,0.06498679287887175,1.0,0.9166666666666666,0.17876135202238141,0.24194608809993412,3.748987854251012,8.0,0.3439431913116105,2.420123806870025,1,0,9.525740025740024,1.3954052734753222,1034.4142555012722,0.03420552972806811,0.12591463414634071,0.17094017094017094,0.16783216783216784,598.06,998.44,381.46,442.81,36.01,116.68,66.13,112.14,0.0,0.0,100.0,100.0,598.06,998.44,381.46,442.81,0.0,0.0,0.0,0.0,37.5,50.0,37.5,37.5,3.22,33.24,-4.52,21.42,0.0,57.14,22.93,38.35,49.4,46.72,45.73,40.36,62.5,56.25,56.25,50.0,47.62,40.27,40.69,32.12,88.75,89.09,86.13,81.89,46.15,92.31,92.31,92.31,40.0,90.0,100.0,100.0,-62.46,63.56,-48.37,47.55,57.15,12.89,30.33,13.25,57.53,70.56,59.93,65.36,634.26,1028.32,391.99,460.6,158.45,284.88,48.86,-25.91,68.32,-15.91,11.78,13.64,4.52,-31.54,-20.81,-18.48,-36.45,-37.23,0.0,-36.45,0.0,-8.33,-22.53,-36.36,-5.04,-14.29,5.24,3.08,600.0,500.0,345.77,39.2,44.27,-34.92,68.38,100.17,52.68
Ilan,14,15,0.22655686329615302,1.0657894736842106,1.0,0.22655686329615302,0.6153846153846154,0.6153846153846154,0.09573717948717952,0.1734693877551021,2.3736263736263736,4.0,0.510989010989011,1.0032604757879484,2,9,8.583333333333334,1.1480276412905126,162.00000000000006,0.11327843164801989,-0.9760479041916166,0.0,0.0,4,0.5074298335814313,1.2083333333333333,1.0,0.5074298335814313,0.6923076923076923,0.6923076923076923,0.10650641025641028,0.17857142857142863,1.879120879120879,3.0,0.5897435897435898,0.2820915348387875,2,6,8.25,1.9265294782782654,123.74999999999999,0.26700542777783987,-0.8807907046929234,0.44826839826839826,0.18556701030927836,0.4999999999999996,1.9027777777777777,1.0,0.4999999999999996,0.9230769230769231,0.9230769230769231,0.14339743589743598,0.21428571428571438,1.978021978021978,3.0,0.5732600732600731,0.39512136215432925,1,1,6.25,1.3194784865269098,103.8823529411764,0.2704870726632976,-0.6582324899156581,0.0,0.0,0.47268782518840713,1.2083333333333333,1.0,0.47268782518840713,0.6923076923076923,0.6923076923076923,0.11108974358974358,0.18367346938775517,1.901098901098901,3.0,0.5860805860805859,0.30889989131747375,2,6,8.75,1.8551059879564855,124.22222222222216,0.2557664194985138,-0.7841691248770898,0.4253092145949289,0.19780219780219782,0.23718071177923822,1.2916666666666667,1.0,0.23718071177923822,0.8461538461538461,0.8461538461538461,0.14637820512820515,0.2142857142857144,2.21978021978022,4.0,0.5439560439560439,0.8527955560922598,2,6,7.25,1.5508279901773951,130.09565217391295,0.12474833870863307,-0.7898550724637678,0.21258503401360546,0.18181818181818182,123.97,120.7,108.64,4.69,13.37,78.53,13.37,21.19,0.0,0.0,0.0,0.0,123.97,120.7,108.64,4.69,12.5,50.0,12.5,37.5,12.5,50.0,12.5,37.5,11.25,49.78,16.04,52.9,2.94,23.53,5.88,23.53,20.83,16.67,19.91,6.48,25.0,25.0,25.0,0.0,15.41,12.19,14.7,6.45,71.88,60.62,69.21,15.0,0.0,50.0,0.0,0.0,33.33,88.89,33.33,33.33,3.88,27.18,-1.94,15.53,67.81,14.93,61.59,35.09,23.61,35.88,23.32,19.69,135.71,138.78,125.79,10.13,-9.76,-32.56,-19.66,-19.08,4482683982.68,0.0,4253092145.95,2125850340.14,1855670103.09,0.0,1978021978.02,1818181818.18,1.49,-36.5,0.0,1.49,-25.0,-25.0,-25.73,-16.67,-5.0,0.0,2.88,-28.61,100.0,500.0,32.0,46.01,19.13,-1.29,-33.81,4482683982.68,1855670103.09
CrlNetworkServices,33,38,0.036466065649779,1.7775510204081633,1.0,0.036466065649779,0.90625,0.6333333333333333,0.12250741343997741,0.15426997245179058,4.696969696969697,10.0,0.29624293530543494,4.726354453627181,2,1,14.311827956989246,0.9654069854887068,1396.6682269503453,0.018477470954051438,-0.15357142857142728,0.0,0.0,9,0.13771764120161287,1.819126819126819,1.0,0.13771764120161287,0.90625,0.4,0.12404736965234742,0.15426997245179058,2.9261363636363638,6.0,0.4075757575757553,1.1138623450413225,2,1,25.346236559139783,1.4840420092481883,787.4286844422774,0.07114759845903532,-0.12516662586033336,0.03601953601953601,0.03773584905660378,0.17600609387951,2.446985446985447,2.0,0.17600609387951,1.0,1.0,0.1978174603174603,0.24977043158861356,3.1420454545454546,6.0,0.38393308080807886,1.2014139979338845,0,0,5.666666666666665,1.157411467521423,626.8640632190643,0.09200972906054505,-0.4179543782192747,0.0,0.0,0.0717360296612676,2.1517671517671517,2.0,0.0717360296612676,1.0,1.0,0.16211001642036127,0.2075298438934802,3.6306818181818183,8.0,0.356773088023087,2.392013171487603,0,0,15.997653958944282,1.3137926699656017,866.2157091080409,0.036679697909340066,0.06812404677173349,0.0992063492063492,0.10909090909090909,0.06670316368967144,2.505197505197505,2.0,0.06670316368967144,1.0,0.8666666666666667,0.18269266557197592,0.27180899908172673,3.715909090909091,8.0,0.35122429653679604,2.4798984159779613,0,0,7.440860215053763,1.1984986309189092,807.1467776471077,0.03417724129278411,-0.0010649627263025188,0.053535353535353526,0.06451612903225806,277.66,382.66,96.72,82.92,2.34,37.66,21.05,40.94,0.0,100.0,100.0,100.0,277.66,382.66,96.72,82.92,0.0,10.34,10.34,10.34,-36.84,57.89,57.89,36.84,1.26,61.47,32.33,49.13,0.0,61.9,34.52,76.19,37.7,33.1,22.7,20.89,40.0,40.0,20.0,20.0,37.58,29.6,20.43,18.56,76.43,74.58,49.39,47.53,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,-77.1,60.41,-11.78,48.01,53.72,19.89,36.09,24.14,43.62,55.12,37.98,42.21,285.05,397.96,98.51,84.97,-18.5,172.16,-144.36,-99.31,360195360.2,0.0,992063492.06,535353535.35,377358490.57,0.0,1090909090.91,645161290.32,-21.75,-25.66,-50.0,-21.75,-9.37,-60.0,-37.29,-38.24,-6.87,0.0,6.16,-7.29,20000000000.0,10000000000.0,347.29,28.22,25.61,-22.67,70.05,360195360.2,377358490.57
Compuserve,14,17,0.2928932188134533,1.635135135135135,1.0,0.2928932188134533,0.7692307692307693,0.7692307692307693,0.15394230769230768,0.28571428571428586,2.2967032967032965,4.0,0.5173992673992672,0.6921869339451757,1,3,8.694444444444445,1.1107287675200057,128.79937304075236,0.1510351193297915,-0.35278514588859383,0.0,0.0,4,0.36259027383853426,1.8428571428571427,1.0,0.36259027383853426,0.7692307692307693,0.7692307692307693,0.15394230769230768,0.28571428571428586,1.945054945054945,4.0,0.5869963369963369,0.42555246950851344,1,3,9.944444444444445,1.7555997533439625,101.5757575757576,0.20681707522299692,-0.418777943368107,0.29350649350649344,0.2222222222222222,0.35540448282205683,2.2,1.0,0.35540448282205683,0.9230769230769231,0.9230769230769231,0.18006410256410255,0.3010204081632653,2.043956043956044,4.0,0.5705128205128205,0.5255403936722619,1,1,5.73888888888889,1.3498886924899844,88.50931416591797,0.18951776047755156,-0.4322103533278557,0.0,0.0,0.36259027383853426,1.8428571428571427,1.0,0.36259027383853426,0.7692307692307693,0.7692307692307693,0.15394230769230768,0.28571428571428586,1.945054945054945,4.0,0.5869963369963369,0.42555246950851344,1,3,9.944444444444445,1.7555997533439625,101.5757575757576,0.20681707522299692,-0.418777943368107,0.29350649350649344,0.2222222222222222,0.21763188423197813,2.2714285714285714,2.0,0.21763188423197813,1.0,1.0,0.19083333333333335,0.3316326530612244,2.197802197802198,4.0,0.5476190476190474,0.7081270377973676,0,0,7.277777777777778,1.4220985006035134,93.87636016544698,0.11629293559260719,-0.1586206896551729,0.22108843537414966,0.17307692307692307,23.8,21.34,23.8,-25.7,12.7,34.55,12.7,38.91,0.0,0.0,0.0,100.0,23.8,21.34,23.8,-25.7,0.0,20.0,0.0,30.0,0.0,20.0,0.0,30.0,0.0,16.97,0.0,23.96,0.0,5.36,0.0,16.07,15.31,11.0,15.31,4.31,0.0,0.0,0.0,0.0,13.45,10.27,13.45,5.84,38.52,24.08,38.52,-2.3,0.0,0.0,0.0,100.0,0.0,66.67,0.0,100.0,-14.38,33.99,-14.38,16.29,58.06,21.53,58.06,28.03,21.14,31.28,21.14,27.11,36.93,25.48,36.93,-23.0,18.71,22.51,18.71,-55.04,2935064935.06,0.0,2935064935.06,2210884353.74,2222222222.22,0.0,2222222222.22,1730769230.77,2.02,-16.23,0.0,2.02,-16.67,-16.67,-14.51,-5.08,-4.84,0.0,2.89,-19.03,0.0,200.0,73.28,30.06,14.76,9.13,3.11,2935064935.06,2222222222.22
