SizeBucket,Reward,Metric,Mean,Std,Min,Max,CI_95_Low,CI_95_High,Mean_Improvement,Std_Improvement,CI_95_Improvement_Low,CI_95_Improvement_High,Improvement_Type,N_Runs
Small,PBR,λ₂,0.3112469524641021,0.08838127422523723,0.2173127891055966,0.5028319619857027,0.2480227975870294,0.37447110734117484,73.75548226226962,30.263806410917102,50.93498677970764,96.5759777448316,Percentage (higher is better),10
Small,PBR,AvgNodeConn,1.5225519905921858,0.14797266441671703,1.3136514888804567,1.851061739224945,1.416698723204192,1.6284052579801795,12.997663273225253,10.846522851171848,4.818816819945564,21.176509726504943,Percentage (higher is better),10
Small,PBR,EdgeConn,1.1800000000000002,0.19888578520235065,1.0,1.6,1.037725680052585,1.3222743199474154,7.333333265555557,11.718930449301064,-1.5033542200695793,16.170020751180694,Percentage (higher is better),10
Small,PBR,SpectralGap,0.3112469524641021,0.08838127422523723,0.2173127891055966,0.5028319619857027,0.2480227975870294,0.37447110734117484,73.75548226226962,30.263806410917102,50.93498677970764,96.5759777448316,Percentage (higher is better),10
Small,PBR,GCC_5%,0.8051265287865285,0.06712047292859238,0.6773333333333333,0.8939130434782608,0.7571114349438565,0.8531416226292005,6.922234839669028,9.242963956172177,-0.047444200150023264,13.89191387948808,Percentage (higher is better),10
Small,PBR,GCC_10%,0.6045007878325326,0.09275618344406662,0.49433311786252954,0.76,0.5381470114326982,0.670854564232367,9.036218598012647,9.190498296990429,2.106101413767548,15.966335782257747,Percentage (higher is better),10
Small,PBR,AttackCurveAUC,0.12577525833685416,0.012479088719065928,0.10838298485071543,0.14682141322417722,0.11684825604122916,0.13470226063247914,7.61656896318772,8.837101965641901,0.9529311263714311,14.28020680000401,Percentage (higher is better),10
Small,PBR,RobustnessCoeff,0.2162032905204127,0.040608243603492564,0.16207751696674585,0.29556935256502354,0.18715390301859747,0.24525267802222794,2.8139123677485,3.311937577645805,0.3165379296827955,5.311286805814204,Percentage (higher is better),10
Small,PBR,ASPL,2.246414100549697,0.18309249090714202,1.8471094402673351,2.4765523596380987,2.1154376227446656,2.3773905783547287,25.117352676883424,4.635140845530439,21.62221365536533,28.61249169840152,Percentage (lower is better),10
Small,PBR,Diameter,3.9,0.5676462121975466,2.6,4.6,3.4939303619463624,4.306069638053637,36.637841106736786,5.0318791913693985,32.8435405882792,40.432141625194376,Percentage (lower is better),10
Small,PBR,Efficiency,0.5381653842595467,0.04865747948567746,0.4860171426385338,0.638806992228045,0.5033579202814814,0.5729728482376121,17.57439714806178,2.5862256891556354,15.62424749223488,19.52454680388868,Percentage (higher is better),10
Small,PBR,ASPLVariance,0.632687935345136,0.11796514100290037,0.4070839977148511,0.7798214654323283,0.5483007570628229,0.7170751136274491,68.00612782984953,9.991136254170312,60.47228768237532,75.53996797732374,Percentage (lower is better),10
Small,PBR,ArticulationPoints,3.3600000000000003,1.1462014560179976,1.4,4.8,2.5400568727836355,4.179943127216365,28.914390834952876,17.661381312204806,15.596784087852333,42.23199758205342,Percentage (lower is better),10
Small,PBR,Bridges,6.859999999999999,2.453206518461547,3.0,10.2,5.10508177520292,8.61491822479708,31.723710880685484,11.120126050053225,23.338553282029363,40.10886847934161,Percentage (lower is better),10
Small,PBR,BetCentralization,15.05310425046942,3.461389345378442,7.745423280423282,20.03492615227909,12.576975477938493,17.529233023000348,-26.38624237829478,12.745297090084216,-35.99686407997395,-16.77562067661561,Percentage (lower is better),10
Small,PBR,NatConnectivity,1.9922672767937548,0.2101351186256367,1.714607152729504,2.3887425635534045,1.8419456684942266,2.142588885093283,54.100924306883165,9.221849128195311,47.147166953514215,61.054681660252115,Percentage (higher is better),10
Small,PBR,EffResistance,455.4881057602532,154.60510496989576,121.69889507081548,629.6021097512161,344.890276218986,566.0859353015203,38.7992983926314,7.603498971062908,33.065861839250154,44.532734946012646,Percentage (lower is better),10
Small,PBR,λ₂_λₙ_Ratio,0.17543703712244713,0.052332217143886,0.12058252646551444,0.2795673228498151,0.13800082418288687,0.21287325006200739,84.52757751100319,31.279731737825195,60.94102111004453,108.11413391196184,Percentage (higher is better),10
Small,PBR,Assortativity,-0.38618389613346676,0.05636858635027704,-0.4848915848271547,-0.30744486209378663,-0.42650755365993753,-0.345860238606996,-0.6634393885182123,13.059588455466988,-10.511053244671995,9.184174467635572,Percentage (negative is better),10
Small,PBR,AvgClustering,0.33551926246399,0.0812117115228946,0.21704473535300597,0.4605859025024179,0.2774239037789545,0.3936146211490255,217044947.1459117,651134135.4614085,-273944302.3583672,708034196.6501906,Percentage (higher is better),10
Small,PBR,Transitivity,0.23456879281774384,0.0743297072922982,0.1345315577968639,0.3400490857154342,0.18139652338610646,0.28774106224938123,178726802.8079158,536179947.4946366,-225580966.79332656,583034572.4091582,Percentage (higher is better),10
Small,EFFRES,λ₂,0.3240775751008618,0.056863789547528555,0.25178531881659644,0.41026625084402923,0.2833996705473697,0.36475547965435395,86.67830290571435,40.84232819625385,55.88104781344981,117.47555799797888,Percentage (higher is better),10
Small,EFFRES,AvgNodeConn,2.09298643910323,0.16917387495973552,1.8854440747553416,2.3586233270162684,1.9719667393379754,2.2140061388684846,55.203005904904714,10.56921771557038,47.23326205122406,63.17274975858537,Percentage (higher is better),10
Small,EFFRES,EdgeConn,1.56,0.22705848487901872,1.2,1.8,1.397572144778545,1.7224278552214551,43.0952376878118,22.158212576519997,26.38678458913897,59.80369078648464,Percentage (higher is better),10
Small,EFFRES,SpectralGap,0.3240775751008618,0.056863789547528555,0.25178531881659644,0.41026625084402923,0.2833996705473697,0.36475547965435395,86.67830290571435,40.84232819625385,55.88104781344981,117.47555799797888,Percentage (higher is better),10
Small,EFFRES,GCC_5%,0.905901392448398,0.051160253191466026,0.7807017543859649,0.9714285714285713,0.8693035520157707,0.9424992328810252,20.490918943667552,9.865349006247444,13.051928970821479,27.929908916513625,Percentage (higher is better),10
Small,EFFRES,GCC_10%,0.8391389586219308,0.06994528184478559,0.6888888888888889,0.9272727272727274,0.7891031182129625,0.889174799030899,52.86866645348401,17.853936972244878,39.40586265118088,66.33147025578714,Percentage (higher is better),10
Small,EFFRES,AttackCurveAUC,0.16397655942054107,0.010641387508674934,0.14643064155486757,0.1845695374327302,0.1563641693769124,0.17158894946416975,40.492022121496134,9.148727759346647,33.593402110893415,47.390642132098854,Percentage (higher is better),10
Small,EFFRES,RobustnessCoeff,0.26797456043316564,0.03812287887322083,0.22009876426302424,0.3337754623122588,0.24070309575505014,0.2952460251112812,28.295702547511958,4.75035062113267,24.713689319624063,31.877715775399853,Percentage (higher is better),10
Small,EFFRES,ASPL,2.3678116783591845,0.21684885360851475,1.875203159413686,2.628731733744467,2.2126873533746787,2.5229360033436903,21.119465667104482,5.235118105169584,17.171912360438963,25.06701897377,Percentage (lower is better),10
Small,EFFRES,Diameter,3.96,0.4788875998951459,3.0,4.8,3.617424448222826,4.302575551777173,35.26002070674714,6.7420794492936444,30.176139600496796,40.34390181299749,Percentage (lower is better),10
Small,EFFRES,Efficiency,0.5210696814569691,0.05334772535869279,0.46584719150402415,0.6344854560644037,0.4829070177028589,0.5592323452110792,13.725408293039589,2.299512775653476,11.991455194199915,15.459361391879263,Percentage (higher is better),10
