Graph,Reward,Attempt,RawAction,Node_U,Node_V,Edge,WasValid,WasAdded,StepReward
HiberniaUs,PBR,1,36,3,4,3-4,True,True,0.062499998828461835
HiberniaUs,PBR,2,36,3,16,3-16,True,True,0.07189542351881187
HiberniaUs,PBR,3,32,3,19,3-19,True,True,0.07079119449688788
HiberniaUs,PBR,4,32,3,21,3-21,True,True,0.05806451520715914
HiberniaUs,PBR,5,32,3,5,3-5,True,True,0.03834951400853992
HiberniaUs,PBR,6,32,3,20,3-20,True,True,0.03843730254696223
HiberniaUs,EFFRES,1,16,7,11,7-11,True,True,0.23845267913735801
HiberniaUs,EFFRES,2,15,5,12,5-12,True,True,0.2361838508559713
HiberniaUs,EFFRES,3,0,8,17,8-17,True,True,0.12955974824717092
HiberniaUs,EFFRES,4,0,0,10,0-10,True,True,0.11179691979339594
HiberniaUs,EFFRES,5,0,4,14,4-14,True,True,0.09186466236715396
HiberniaUs,EFFRES,6,0,6,17,6-17,True,True,0.06531426077127983
HiberniaUs,IVI,1,64,4,8,4-8,True,True,0.9999969129125954
HiberniaUs,IVI,2,9,5,17,5-17,True,True,0.5358781845702345
HiberniaUs,IVI,3,19,1,8,1-8,True,True,0.35714282470845765
HiberniaUs,IVI,4,2,0,10,0-10,True,True,0.0476190332728659
HiberniaUs,IVI,5,49,17,21,17-21,True,True,0.31484849128020137
HiberniaUs,IVI,6,0,1,11,1-11,True,True,0.45340133533056853
HiberniaUs,NNSI,1,63,10,11,10-11,True,True,-0.1037584725127851
HiberniaUs,NNSI,2,18,8,16,8-16,True,True,0.4284901638197596
HiberniaUs,NNSI,3,18,7,20,7-20,True,True,0.013678113340446246
HiberniaUs,NNSI,4,64,4,8,4-8,True,True,0.02650049585471759
HiberniaUs,NNSI,5,64,5,14,5-14,True,True,0.04928611291855847
HiberniaUs,NNSI,6,64,6,11,6-11,True,True,-0.16684333108603497
Marnet,PBR,1,32,1,2,1-2,True,True,0.009384548169089759
Marnet,PBR,2,32,2,8,2-8,True,True,0.008468468410595148
Marnet,PBR,3,32,3,4,3-4,True,True,0.0015186707215359423
Marnet,PBR,4,32,4,5,4-5,True,True,0.0025969810026044357
Marnet,PBR,5,33,4,8,4-8,True,True,0.0029045870437217
Marnet,EFFRES,1,11,3,8,3-8,True,True,0.06643512804906797
Marnet,EFFRES,2,10,1,15,1-15,True,True,0.05982937162306638
Marnet,EFFRES,3,62,6,9,6-9,True,True,0.05406901249328386
Marnet,EFFRES,4,62,12,13,12-13,True,True,0.05715957422623258
Marnet,EFFRES,5,1,0,8,0-8,True,True,0.061577599029748305
Marnet,IVI,1,114,3,16,3-16,True,True,-1.0
Marnet,IVI,2,72,9,12,9-12,True,True,0.06666666666666646
Marnet,IVI,3,56,17,18,17-18,True,True,0.9999996952281586
Marnet,IVI,4,33,2,8,2-8,True,True,0.05838238905198927
Marnet,IVI,5,33,4,5,4-5,True,True,0.18175157209024942
Marnet,NNSI,1,32,1,2,1-2,True,True,0.0
Marnet,NNSI,2,32,2,8,2-8,True,True,0.0
Marnet,NNSI,3,32,3,4,3-4,True,True,0.0
Marnet,NNSI,4,32,4,5,4-5,True,True,0.0
Marnet,NNSI,5,32,4,6,4-6,True,True,0.0
Nordu1989,PBR,1,8,1,4,1-4,True,True,0.29411764345328717
Nordu1989,PBR,2,11,4,5,4-5,True,True,0.02000000031500003
Nordu1989,EFFRES,1,0,0,4,0-4,True,True,0.23749999994062504
Nordu1989,EFFRES,2,0,2,4,2-4,True,True,0.1803278687933352
Nordu1989,IVI,1,12,3,5,3-5,True,True,-1.0
Nordu1989,IVI,2,12,4,5,4-5,True,True,0.9999999241213937
Nordu1989,NNSI,1,0,0,4,0-4,True,True,-1.0
Nordu1989,NNSI,2,7,1,4,1-4,True,True,0.49999999937499995
Renam,PBR,1,4,2,4,2-4,True,True,0.12500000117187537
Renam,PBR,2,4,3,4,3-4,True,True,0.21212120882001836
Renam,EFFRES,1,2,1,4,1-4,True,True,0.20833333320312492
Renam,EFFRES,2,2,2,3,2-3,True,True,0.2631578945290859
Renam,IVI,1,3,2,3,2-3,True,True,-1.0
Renam,IVI,2,4,3,4,3-4,True,True,0.9999999384634883
Renam,NNSI,1,2,1,4,1-4,True,True,-0.999999995
Renam,NNSI,2,2,2,3,2-3,True,True,0.49999999875
Arpanet19706,PBR,1,18,2,4,2-4,True,True,0.4736841946952913
Arpanet19706,PBR,2,18,3,5,3-5,True,True,0.18749999589843797
Arpanet19706,PBR,3,18,3,8,3-8,True,True,0.1612903194771072
Arpanet19706,EFFRES,1,1,0,2,0-2,True,True,0.31259849814372775
Arpanet19706,EFFRES,2,1,1,7,1-7,True,True,0.2243953641591243
Arpanet19706,EFFRES,3,0,0,5,0-5,True,True,0.16084462557997664
Arpanet19706,IVI,1,21,4,6,4-6,True,True,0.49494948409856165
Arpanet19706,IVI,2,4,0,3,0-3,True,True,0.3400000220799986
Arpanet19706,IVI,3,4,1,5,1-5,True,True,0.5053738923760264
Arpanet19706,NNSI,1,7,0,5,0-5,True,True,0.5011861428134551
Arpanet19706,NNSI,2,22,5,7,5-7,True,True,0.4007725653448913
Arpanet19706,NNSI,3,22,5,8,5-8,True,True,0.11869161731419046
