Graph,Reward,Attempt,RawAction,Node_U,Node_V,Edge,WasValid,WasAdded,StepReward
Bren,PBR,1,61,3,24,3-24,True,True,0.05398841704311832
Bren,PBR,2,61,3,26,3-26,True,True,0.0472350224857898
Bren,PBR,3,61,3,31,3-31,True,True,0.041218637529063754
Bren,PBR,4,61,3,32,3-32,True,True,0.03596869189877397
Bren,PBR,5,61,3,33,3-33,True,True,0.03143952563973399
Bren,PBR,6,43,3,10,3-10,True,True,0.031966489970136715
Bren,PBR,7,43,3,35,3-35,True,True,0.027055150616524175
Bren,PBR,8,43,3,23,3-23,True,True,0.02169378369101279
Bren,PBR,9,43,3,34,3-34,True,True,0.022627982310501955
Bren,PBR,10,42,3,25,3-25,True,True,0.01918287658240606
Bren,EFFRES,1,7,16,31,16-31,True,True,0.10619324930028029
Bren,EFFRES,2,7,18,35,18-35,True,True,0.09559959441731777
Bren,EFFRES,3,1,12,36,12-36,True,True,0.05796933816066058
Bren,EFFRES,4,1,4,16,4-16,True,True,0.07474318356359246
Bren,EFFRES,5,1,5,18,5-18,True,True,0.05703426210537841
Bren,EFFRES,6,1,6,36,6-36,True,True,0.04787499663328644
Bren,EFFRES,7,1,9,13,9-13,True,True,0.0768540324279473
Bren,EFFRES,8,1,9,32,9-32,True,True,0.057021025677718586
Bren,EFFRES,9,1,26,33,26-33,True,True,0.05342012484735313
Bren,EFFRES,10,1,4,18,4-18,True,True,0.03183714746707285
Bren,IVI,1,58,3,18,3-18,True,True,0.12042842215255978
Bren,IVI,2,45,3,15,3-15,True,True,0.20617465670570223
Bren,IVI,3,89,4,24,4-24,True,True,0.04999999999999985
Bren,IVI,4,89,5,29,5-29,True,True,0.5310834231782875
Bren,IVI,5,89,6,31,6-31,True,True,0.0
Bren,IVI,6,89,7,33,7-33,True,True,0.0
Bren,IVI,7,89,8,36,8-36,True,True,0.0454545454545452
Bren,IVI,8,89,12,19,12-19,True,True,0.0
Bren,IVI,9,89,16,20,16-20,True,True,0.0
Bren,IVI,10,89,0,13,0-13,True,True,0.0
