Graph,N,M,Orig_λ₂,Orig_AvgNodeConn,Orig_EdgeConn,Orig_SpectralGap,Orig_GCC_5%,Orig_GCC_10%,Orig_AttackCurveAUC,Orig_RobustnessCoeff,Orig_ASPL,Orig_Diameter,Orig_Efficiency,Orig_ASPLVariance,Orig_ArticulationPoints,Orig_Bridges,Orig_BetCentralization,Orig_NatConnectivity,Orig_EffResistance,Orig_λ₂_λₙ_Ratio,Orig_Assortativity,Orig_AvgClustering,Orig_Transitivity,BudgetEdges,PBR_λ₂,PBR_AvgNodeConn,PBR_EdgeConn,PBR_SpectralGap,PBR_GCC_5%,PBR_GCC_10%,PBR_AttackCurveAUC,PBR_RobustnessCoeff,PBR_ASPL,PBR_Diameter,PBR_Efficiency,PBR_ASPLVariance,PBR_ArticulationPoints,PBR_Bridges,PBR_BetCentralization,PBR_NatConnectivity,PBR_EffResistance,PBR_λ₂_λₙ_Ratio,PBR_Assortativity,PBR_AvgClustering,PBR_Transitivity,EFFRES_λ₂,EFFRES_AvgNodeConn,EFFRES_EdgeConn,EFFRES_SpectralGap,EFFRES_GCC_5%,EFFRES_GCC_10%,EFFRES_AttackCurveAUC,EFFRES_RobustnessCoeff,EFFRES_ASPL,EFFRES_Diameter,EFFRES_Efficiency,EFFRES_ASPLVariance,EFFRES_ArticulationPoints,EFFRES_Bridges,EFFRES_BetCentralization,EFFRES_NatConnectivity,EFFRES_EffResistance,EFFRES_λ₂_λₙ_Ratio,EFFRES_Assortativity,EFFRES_AvgClustering,EFFRES_Transitivity,IVI_λ₂,IVI_AvgNodeConn,IVI_EdgeConn,IVI_SpectralGap,IVI_GCC_5%,IVI_GCC_10%,IVI_AttackCurveAUC,IVI_RobustnessCoeff,IVI_ASPL,IVI_Diameter,IVI_Efficiency,IVI_ASPLVariance,IVI_ArticulationPoints,IVI_Bridges,IVI_BetCentralization,IVI_NatConnectivity,IVI_EffResistance,IVI_λ₂_λₙ_Ratio,IVI_Assortativity,IVI_AvgClustering,IVI_Transitivity,NNSI_λ₂,NNSI_AvgNodeConn,NNSI_EdgeConn,NNSI_SpectralGap,NNSI_GCC_5%,NNSI_GCC_10%,NNSI_AttackCurveAUC,NNSI_RobustnessCoeff,NNSI_ASPL,NNSI_Diameter,NNSI_Efficiency,NNSI_ASPLVariance,NNSI_ArticulationPoints,NNSI_Bridges,NNSI_BetCentralization,NNSI_NatConnectivity,NNSI_EffResistance,NNSI_λ₂_λₙ_Ratio,NNSI_Assortativity,NNSI_AvgClustering,NNSI_Transitivity,%Δ_PBR_vs_Orig_λ₂,%Δ_EFFRES_vs_Orig_λ₂,%Δ_IVI_vs_Orig_λ₂,%Δ_NNSI_vs_Orig_λ₂,%Δ_PBR_vs_Orig_AvgNodeConn,%Δ_EFFRES_vs_Orig_AvgNodeConn,%Δ_IVI_vs_Orig_AvgNodeConn,%Δ_NNSI_vs_Orig_AvgNodeConn,%Δ_PBR_vs_Orig_EdgeConn,%Δ_EFFRES_vs_Orig_EdgeConn,%Δ_IVI_vs_Orig_EdgeConn,%Δ_NNSI_vs_Orig_EdgeConn,%Δ_PBR_vs_Orig_SpectralGap,%Δ_EFFRES_vs_Orig_SpectralGap,%Δ_IVI_vs_Orig_SpectralGap,%Δ_NNSI_vs_Orig_SpectralGap,%Δ_PBR_vs_Orig_GCC_5%,%Δ_EFFRES_vs_Orig_GCC_5%,%Δ_IVI_vs_Orig_GCC_5%,%Δ_NNSI_vs_Orig_GCC_5%,%Δ_PBR_vs_Orig_GCC_10%,%Δ_EFFRES_vs_Orig_GCC_10%,%Δ_IVI_vs_Orig_GCC_10%,%Δ_NNSI_vs_Orig_GCC_10%,%Δ_PBR_vs_Orig_AttackCurveAUC,%Δ_EFFRES_vs_Orig_AttackCurveAUC,%Δ_IVI_vs_Orig_AttackCurveAUC,%Δ_NNSI_vs_Orig_AttackCurveAUC,%Δ_PBR_vs_Orig_RobustnessCoeff,%Δ_EFFRES_vs_Orig_RobustnessCoeff,%Δ_IVI_vs_Orig_RobustnessCoeff,%Δ_NNSI_vs_Orig_RobustnessCoeff,%Δ_PBR_vs_Orig_ASPL,%Δ_EFFRES_vs_Orig_ASPL,%Δ_IVI_vs_Orig_ASPL,%Δ_NNSI_vs_Orig_ASPL,%Δ_PBR_vs_Orig_Diameter,%Δ_EFFRES_vs_Orig_Diameter,%Δ_IVI_vs_Orig_Diameter,%Δ_NNSI_vs_Orig_Diameter,%Δ_PBR_vs_Orig_Efficiency,%Δ_EFFRES_vs_Orig_Efficiency,%Δ_IVI_vs_Orig_Efficiency,%Δ_NNSI_vs_Orig_Efficiency,%Δ_PBR_vs_Orig_ASPLVariance,%Δ_EFFRES_vs_Orig_ASPLVariance,%Δ_IVI_vs_Orig_ASPLVariance,%Δ_NNSI_vs_Orig_ASPLVariance,%Δ_PBR_vs_Orig_ArticulationPoints,%Δ_EFFRES_vs_Orig_ArticulationPoints,%Δ_IVI_vs_Orig_ArticulationPoints,%Δ_NNSI_vs_Orig_ArticulationPoints,%Δ_PBR_vs_Orig_Bridges,%Δ_EFFRES_vs_Orig_Bridges,%Δ_IVI_vs_Orig_Bridges,%Δ_NNSI_vs_Orig_Bridges,%Δ_PBR_vs_Orig_BetCentralization,%Δ_EFFRES_vs_Orig_BetCentralization,%Δ_IVI_vs_Orig_BetCentralization,%Δ_NNSI_vs_Orig_BetCentralization,%Δ_PBR_vs_Orig_NatConnectivity,%Δ_EFFRES_vs_Orig_NatConnectivity,%Δ_IVI_vs_Orig_NatConnectivity,%Δ_NNSI_vs_Orig_NatConnectivity,%Δ_PBR_vs_Orig_EffResistance,%Δ_EFFRES_vs_Orig_EffResistance,%Δ_IVI_vs_Orig_EffResistance,%Δ_NNSI_vs_Orig_EffResistance,%Δ_PBR_vs_Orig_λ₂_λₙ_Ratio,%Δ_EFFRES_vs_Orig_λ₂_λₙ_Ratio,%Δ_IVI_vs_Orig_λ₂_λₙ_Ratio,%Δ_NNSI_vs_Orig_λ₂_λₙ_Ratio,%Δ_PBR_vs_Orig_Assortativity,%Δ_EFFRES_vs_Orig_Assortativity,%Δ_IVI_vs_Orig_Assortativity,%Δ_NNSI_vs_Orig_Assortativity,%Δ_PBR_vs_Orig_AvgClustering,%Δ_EFFRES_vs_Orig_AvgClustering,%Δ_IVI_vs_Orig_AvgClustering,%Δ_NNSI_vs_Orig_AvgClustering,%Δ_PBR_vs_Orig_Transitivity,%Δ_EFFRES_vs_Orig_Transitivity,%Δ_IVI_vs_Orig_Transitivity,%Δ_NNSI_vs_Orig_Transitivity,%Δ_PBR_vs_EFFRES_λ₂,%Δ_PBR_vs_EFFRES_AvgNodeConn,%Δ_PBR_vs_EFFRES_EdgeConn,%Δ_PBR_vs_EFFRES_SpectralGap,%Δ_PBR_vs_EFFRES_GCC_5%,%Δ_PBR_vs_EFFRES_GCC_10%,%Δ_PBR_vs_EFFRES_AttackCurveAUC,%Δ_PBR_vs_EFFRES_RobustnessCoeff,%Δ_PBR_vs_EFFRES_ASPL,%Δ_PBR_vs_EFFRES_Diameter,%Δ_PBR_vs_EFFRES_Efficiency,%Δ_PBR_vs_EFFRES_ASPLVariance,%Δ_PBR_vs_EFFRES_ArticulationPoints,%Δ_PBR_vs_EFFRES_Bridges,%Δ_PBR_vs_EFFRES_BetCentralization,%Δ_PBR_vs_EFFRES_NatConnectivity,%Δ_PBR_vs_EFFRES_EffResistance,%Δ_PBR_vs_EFFRES_λ₂_λₙ_Ratio,%Δ_PBR_vs_EFFRES_Assortativity,%Δ_PBR_vs_EFFRES_AvgClustering,%Δ_PBR_vs_EFFRES_Transitivity
Bren,37,38,0.043601746413721984,1.0445859872611465,1.0,0.043601746413721984,0.4722222222222222,0.2647058823529412,0.06243541832666596,0.09495982468955452,3.84984984984985,8.0,0.32227942227942097,2.1516291065840614,12,24,27.485714285714284,0.9838124344443884,2081.142857142851,0.02210040977448906,-0.34301727095962514,0.0,0.0,10,0.12073217995916799,1.0970873786407767,1.0,0.12073217995916799,0.4722222222222222,0.2647058823529412,0.06243541832666596,0.09495982468955452,2.8453453453453452,6.0,0.4092842842842819,0.968574430286142,10,18,30.742857142857144,1.885386312217574,1391.907939189188,0.06272017969361929,-0.2837067520195092,0.20232337600758654,0.10843373493975902,0.15885469821894438,1.7686084142394822,1.0,0.15885469821894438,0.9166666666666666,0.7941176470588235,0.15249660898083575,0.16070124178232303,3.1876876876876876,5.0,0.37164664664664354,1.1194279865451036,4,7,16.168571428571425,1.1459812199144732,1050.2714386580942,0.08174323146445031,-0.36190476190476206,0.0,0.0,0.08435802131580174,1.6941747572815533,1.0,0.08435802131580174,0.8888888888888888,0.4411764705882353,0.1144740379534023,0.13732651570489418,3.33033033033033,6.0,0.3648898898898871,1.5215125034944854,4,4,24.71238095238095,1.2171277299854943,1153.4557772920348,0.04331032962783429,-0.2085956153679185,0.018509418509418507,0.023076923076923078,0.10825758516107378,1.203883495145631,1.0,0.10825758516107378,0.8611111111111112,0.3235294117647059,0.09413587881389116,0.11395178962746538,3.184684684684685,7.0,0.38003360503360195,1.4779035792549307,12,20,15.771428571428569,1.606806395856263,1363.5275448892605,0.056076518556481394,-0.29124574306728057,0.052743652743652746,0.07772020725388601,176.9,264.33,93.47,148.29,5.03,69.31,62.19,15.25,0.0,0.0,0.0,0.0,176.9,264.33,93.47,148.29,0.0,94.12,88.24,82.35,0.0,200.0,66.67,22.22,0.0,144.25,83.35,50.77,0.0,69.23,44.62,20.0,26.09,17.2,13.49,17.28,25.0,37.5,25.0,12.5,27.0,15.32,13.22,17.92,54.98,47.97,29.29,31.31,16.67,66.67,66.67,0.0,25.0,70.83,83.33,16.67,-11.85,41.17,10.09,42.62,91.64,16.48,23.72,63.32,33.12,49.53,44.58,34.48,183.8,269.87,95.97,153.74,-17.29,5.51,-39.19,-15.09,2023233760.08,0.0,185094185.09,527436527.44,1084337349.4,0.0,230769230.77,777202072.54,-24.0,-37.97,0.0,-24.0,-48.48,-66.67,-59.06,-40.91,-10.74,20.0,10.13,-13.48,150.0,157.14,90.14,64.52,32.53,-23.27,21.61,2023233760.08,1084337349.4
KentmanFeb2008,26,27,0.11042893176551465,1.016778523489933,1.0,0.11042893176551465,0.72,0.375,0.08178622247317897,0.1242603550295857,3.0276923076923077,6.0,0.396000000000001,1.2330792899408285,7,21,14.52777777777778,1.0871589377710131,835.3333333333338,0.05521446588272971,-0.41842060953022414,0.0,0.0,7,0.18282094990533657,1.1237113402061856,1.0,0.18282094990533657,0.72,0.375,0.08178622247317897,0.1242603550295857,2.4923076923076923,4.0,0.46128205128205135,0.6622485207100594,6,15,18.5,1.9303202380877569,608.4456928838954,0.0976354876365592,-0.42103572346440477,0.23956043956043957,0.15517241379310345,0.19579539849752708,1.5395189003436427,1.0,0.19579539849752708,0.88,0.6666666666666666,0.1400744965179748,0.18343195266272183,2.6769230769230767,5.0,0.43753846153846193,0.8033136094674554,3,9,10.772420634920636,1.237744550373044,490.29492354740046,0.09883836073411874,-0.45098039215686264,0.0,0.0,0.2034676462668156,1.4536082474226804,1.0,0.2034676462668156,0.8,0.6666666666666666,0.1289399585921325,0.15680473372781056,2.609230769230769,5.0,0.44625641025641033,0.7611455621301776,3,9,14.066666666666666,1.3681078393480521,500.273480607151,0.10542515020639609,-0.42243888242142,0.051981351981351974,0.02459016393442623,0.18282094990533657,1.1237113402061856,1.0,0.18282094990533657,0.72,0.375,0.08178622247317897,0.1242603550295857,2.4923076923076923,4.0,0.46128205128205135,0.6622485207100594,6,15,18.5,1.9303202380877569,608.4456928838954,0.0976354876365592,-0.42103572346440477,0.23956043956043957,0.15517241379310345,65.56,77.3,84.25,65.56,10.52,51.41,42.96,10.52,0.0,0.0,0.0,0.0,65.56,77.3,84.25,65.56,0.0,22.22,11.11,0.0,0.0,77.78,77.78,0.0,0.0,71.27,57.65,0.0,0.0,47.62,26.19,0.0,17.68,11.59,13.82,17.68,33.33,16.67,16.67,33.33,16.49,10.49,12.69,16.49,46.29,34.85,38.27,46.29,14.29,57.14,57.14,14.29,28.57,57.14,57.14,28.57,-27.34,25.85,3.17,-27.34,77.56,13.85,25.84,77.56,27.16,41.31,40.11,27.16,76.83,79.01,90.94,76.83,0.62,7.78,0.96,0.62,2395604395.6,0.0,519813519.81,2395604395.6,1551724137.93,0.0,245901639.34,1551724137.93,-6.63,-27.01,0.0,-6.63,-18.18,-43.75,-41.61,-32.26,-6.9,-20.0,5.43,-17.56,100.0,66.67,71.73,55.95,24.1,-1.22,6.64,2395604395.6,1551724137.93
Harnet,21,23,0.08225004579992302,1.0962566844919786,1.0,0.08225004579992302,0.85,0.5789473684210527,0.1282905056759546,0.16780045351473913,3.057142857142857,5.0,0.40833333333333355,1.4824489795918365,6,13,11.982456140350877,1.0550749295203208,496.2857142857141,0.04112502289994093,-0.5794486215538848,0.0,0.0,6,0.26054327040818304,1.143646408839779,1.0,0.26054327040818304,0.75,0.5789473684210527,0.11929050567595462,0.16780045351473913,2.3714285714285714,4.0,0.4892857142857145,0.633469387755102,6,12,11.035087719298243,1.9580014316478886,343.9825816485223,0.14416172851466788,-0.42315603878930325,0.10908060193774477,0.234375,0.22684981936705542,1.9944751381215469,1.0,0.22684981936705542,1.0,0.7894736842105263,0.16431028551771587,0.21541950113378677,2.5904761904761906,5.0,0.4622222222222226,0.8799092970521543,1,1,6.4182957393483715,1.2098505461997908,264.62291078730635,0.11464138120168829,-0.23943014705882334,0.0,0.0,0.2424592658241525,1.6408839779005524,1.0,0.2424592658241525,0.85,0.7368421052631579,0.14569504643962847,0.201814058956916,2.4761904761904763,5.0,0.47595238095238146,0.7541950113378684,3,5,9.199498746867167,1.344594333788988,284.9744125464474,0.12535486289923986,-0.358974358974359,0.05158730158730159,0.034482758620689655,0.08915827442281576,1.1988950276243093,1.0,0.08915827442281576,0.85,0.6842105263157895,0.13384778121775026,0.19274376417233555,2.7666666666666666,5.0,0.4453968253968257,1.1407936507936505,4,3,11.473684210526315,1.4003277928175097,356.27428317403843,0.04855339659164396,-0.19688168755732188,0.2972789115646259,0.189873417721519,216.77,175.81,194.78,8.4,4.32,81.94,49.68,9.36,0.0,0.0,0.0,0.0,216.77,175.81,194.78,8.4,-11.76,17.65,0.0,0.0,0.0,36.36,27.27,18.18,-7.02,28.08,13.57,4.33,0.0,28.38,20.27,14.86,22.43,15.26,19.0,9.5,20.0,0.0,0.0,0.0,19.83,13.2,16.56,9.08,57.27,40.64,49.13,23.05,0.0,83.33,50.0,33.33,7.69,92.31,61.54,76.92,7.91,46.44,23.23,4.25,85.58,14.67,27.44,32.72,30.69,46.68,42.58,28.21,250.54,178.76,204.81,18.06,-26.97,-58.68,-38.05,-66.02,1090806019.38,0.0,515873015.87,2972789115.65,2343750000.0,0.0,344827586.21,1898734177.22,14.85,-42.66,0.0,14.85,-25.0,-26.67,-27.4,-22.11,-8.46,-20.0,5.86,-28.01,500.0,1100.0,71.93,61.84,29.99,25.75,-76.73,1090806019.38,2343750000.0
Ibm,18,24,0.16324654625534543,2.10077519379845,1.0,0.16324654625534543,1.0,1.0,0.18833333333333338,0.2746913580246912,2.6993464052287583,6.0,0.46361655773420446,1.308300226408646,1,1,4.789583333333334,1.1150541936574703,203.95913978494633,0.0845909297487149,-0.07865168539325472,0.0,0.0,5,0.25932013150495836,2.1129032258064515,1.0,0.25932013150495836,1.0,1.0,0.18833333333333338,0.2746913580246912,2.2941176470588234,4.0,0.520697167755991,0.7435601691657056,1,1,8.654166666666667,1.712951448023695,165.80215608867297,0.14295497296212645,-0.07046979865771792,0.17592592592592593,0.19565217391304346,0.3254501631614901,2.8548387096774195,2.0,0.3254501631614901,1.0,1.0,0.20000000000000004,0.3456790123456789,2.2026143790849675,4.0,0.5305010893246186,0.5667905506429153,0,0,2.489583333333333,1.3163711580574207,127.45055731829349,0.17927048066061477,-0.13725490196078136,0.0,0.0,0.30142242619021936,2.588709677419355,1.0,0.30142242619021936,1.0,1.0,0.20000000000000004,0.33641975308641964,2.241830065359477,4.0,0.5266884531590409,0.6539365201418258,1,1,3.3854166666666665,1.3709489120592173,141.3267122998431,0.1647909339389979,-0.1137980085348502,0.0,0.0,0.2695895161648329,2.6451612903225805,2.0,0.2695895161648329,1.0,1.0,0.19220833333333337,0.3271604938271604,2.2483660130718954,4.0,0.5250544662309367,0.6441966764919475,0,0,3.375,1.397106576691371,133.86487752384636,0.1482871511074491,-0.3469945355191265,0.0574074074074074,0.08333333333333333,58.85,99.36,84.64,65.14,0.58,35.89,23.23,25.91,0.0,100.0,0.0,100.0,58.85,99.36,84.64,65.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19,6.19,2.06,0.0,25.84,22.47,19.1,15.01,18.4,16.95,16.71,33.33,33.33,33.33,33.33,12.31,14.43,13.6,13.25,43.17,56.68,50.02,50.76,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,-80.69,48.02,29.32,29.53,53.62,18.05,22.95,25.29,18.71,37.51,30.71,34.37,69.0,111.93,94.81,75.3,-10.4,74.51,44.69,341.18,1759259259.26,0.0,0.0,574074074.07,1956521739.13,0.0,0.0,833333333.33,-20.32,-25.99,-50.0,-20.32,0.0,0.0,-5.83,-20.54,4.15,0.0,-1.85,31.19,10000000000.0,10000000000.0,247.62,30.13,30.09,-20.26,48.66,1759259259.26,1956521739.13
Cesnet1993,10,9,0.24407105398154513,1.0,1.0,0.24407105398154513,0.3333333333333333,0.3333333333333333,0.06895833333333333,0.21000000000000005,2.066666666666667,3.0,0.5555555555555558,0.4622222222222223,2,9,8.25,0.9176730708015418,93.00000000000009,0.1220355269907116,-0.7647058823529408,0.0,0.0,3,0.5718075074684249,1.0909090909090908,1.0,0.5718075074684249,0.4444444444444444,0.4444444444444444,0.09006944444444444,0.22000000000000006,1.7333333333333334,2.0,0.6333333333333333,0.19555555555555562,1,5,7.875,1.4601817495552534,63.00000000000003,0.3062640077883834,-0.7967914438502673,0.3583333333333333,0.2,0.45083035263472404,1.393939393939394,1.0,0.45083035263472404,0.6666666666666666,0.6666666666666666,0.13354166666666667,0.26000000000000006,1.9333333333333333,3.0,0.6000000000000002,0.4622222222222223,1,3,6.770833333333333,1.1679080699371542,58.4545454545455,0.22541517631724925,-0.6312247644683716,0.0,0.0,0.30771374506462146,1.0303030303030303,1.0,0.30771374506462146,0.3333333333333333,0.3333333333333333,0.06958333333333333,0.23000000000000004,1.8666666666666667,3.0,0.6111111111111114,0.38222222222222213,1,4,8.0,1.3373959536494067,64.83333333333333,0.16925404165186267,-0.6509028374892512,0.4404761904761905,0.24324324324324326,0.44637669842252,1.0909090909090908,1.0,0.44637669842252,0.5555555555555556,0.5555555555555556,0.11180555555555557,0.24000000000000005,1.8666666666666667,3.0,0.6111111111111114,0.38222222222222213,2,5,7.125,1.4122992342066951,66.39999999999998,0.23931300252237725,-0.6902887139107611,0.29404761904761906,0.23076923076923078,134.28,84.71,26.08,82.89,9.09,39.39,3.03,9.09,0.0,0.0,0.0,0.0,134.28,84.71,26.08,82.89,33.33,100.0,0.0,66.67,33.33,100.0,0.0,66.67,30.61,93.66,0.91,62.13,4.76,23.81,9.52,14.29,16.13,6.45,9.68,9.68,33.33,0.0,0.0,0.0,14.0,8.0,10.0,10.0,57.69,0.0,17.31,17.31,50.0,50.0,50.0,0.0,44.44,66.67,55.56,44.44,4.55,17.93,3.03,13.64,59.12,27.27,45.74,53.9,32.26,37.15,30.29,28.6,150.96,84.71,38.69,96.1,4.2,-17.46,-14.88,-9.73,3583333333.33,0.0,4404761904.76,2940476190.48,2000000000.0,0.0,2432432432.43,2307692307.69,26.83,-21.74,0.0,26.83,-33.33,-33.33,-32.55,-15.38,-10.34,-33.33,5.56,-57.69,0.0,66.67,16.31,25.03,7.78,35.87,-26.23,3583333333.33,2000000000.0
