Graph,N,M,Orig_λ₂,Orig_AvgNodeConn,Orig_EdgeConn,Orig_SpectralGap,Orig_GCC_5%,Orig_GCC_10%,Orig_AttackCurveAUC,Orig_RobustnessCoeff,Orig_ASPL,Orig_Diameter,Orig_Efficiency,Orig_ASPLVariance,Orig_ArticulationPoints,Orig_Bridges,Orig_BetCentralization,Orig_NatConnectivity,Orig_EffResistance,Orig_λ₂_λₙ_Ratio,Orig_Assortativity,Orig_AvgClustering,Orig_Transitivity,BudgetEdges,PBR_λ₂,PBR_AvgNodeConn,PBR_EdgeConn,PBR_SpectralGap,PBR_GCC_5%,PBR_GCC_10%,PBR_AttackCurveAUC,PBR_RobustnessCoeff,PBR_ASPL,PBR_Diameter,PBR_Efficiency,PBR_ASPLVariance,PBR_ArticulationPoints,PBR_Bridges,PBR_BetCentralization,PBR_NatConnectivity,PBR_EffResistance,PBR_λ₂_λₙ_Ratio,PBR_Assortativity,PBR_AvgClustering,PBR_Transitivity,EFFRES_λ₂,EFFRES_AvgNodeConn,EFFRES_EdgeConn,EFFRES_SpectralGap,EFFRES_GCC_5%,EFFRES_GCC_10%,EFFRES_AttackCurveAUC,EFFRES_RobustnessCoeff,EFFRES_ASPL,EFFRES_Diameter,EFFRES_Efficiency,EFFRES_ASPLVariance,EFFRES_ArticulationPoints,EFFRES_Bridges,EFFRES_BetCentralization,EFFRES_NatConnectivity,EFFRES_EffResistance,EFFRES_λ₂_λₙ_Ratio,EFFRES_Assortativity,EFFRES_AvgClustering,EFFRES_Transitivity,IVI_λ₂,IVI_AvgNodeConn,IVI_EdgeConn,IVI_SpectralGap,IVI_GCC_5%,IVI_GCC_10%,IVI_AttackCurveAUC,IVI_RobustnessCoeff,IVI_ASPL,IVI_Diameter,IVI_Efficiency,IVI_ASPLVariance,IVI_ArticulationPoints,IVI_Bridges,IVI_BetCentralization,IVI_NatConnectivity,IVI_EffResistance,IVI_λ₂_λₙ_Ratio,IVI_Assortativity,IVI_AvgClustering,IVI_Transitivity,NNSI_λ₂,NNSI_AvgNodeConn,NNSI_EdgeConn,NNSI_SpectralGap,NNSI_GCC_5%,NNSI_GCC_10%,NNSI_AttackCurveAUC,NNSI_RobustnessCoeff,NNSI_ASPL,NNSI_Diameter,NNSI_Efficiency,NNSI_ASPLVariance,NNSI_ArticulationPoints,NNSI_Bridges,NNSI_BetCentralization,NNSI_NatConnectivity,NNSI_EffResistance,NNSI_λ₂_λₙ_Ratio,NNSI_Assortativity,NNSI_AvgClustering,NNSI_Transitivity,%Δ_PBR_vs_Orig_λ₂,%Δ_EFFRES_vs_Orig_λ₂,%Δ_IVI_vs_Orig_λ₂,%Δ_NNSI_vs_Orig_λ₂,%Δ_PBR_vs_Orig_AvgNodeConn,%Δ_EFFRES_vs_Orig_AvgNodeConn,%Δ_IVI_vs_Orig_AvgNodeConn,%Δ_NNSI_vs_Orig_AvgNodeConn,%Δ_PBR_vs_Orig_EdgeConn,%Δ_EFFRES_vs_Orig_EdgeConn,%Δ_IVI_vs_Orig_EdgeConn,%Δ_NNSI_vs_Orig_EdgeConn,%Δ_PBR_vs_Orig_SpectralGap,%Δ_EFFRES_vs_Orig_SpectralGap,%Δ_IVI_vs_Orig_SpectralGap,%Δ_NNSI_vs_Orig_SpectralGap,%Δ_PBR_vs_Orig_GCC_5%,%Δ_EFFRES_vs_Orig_GCC_5%,%Δ_IVI_vs_Orig_GCC_5%,%Δ_NNSI_vs_Orig_GCC_5%,%Δ_PBR_vs_Orig_GCC_10%,%Δ_EFFRES_vs_Orig_GCC_10%,%Δ_IVI_vs_Orig_GCC_10%,%Δ_NNSI_vs_Orig_GCC_10%,%Δ_PBR_vs_Orig_AttackCurveAUC,%Δ_EFFRES_vs_Orig_AttackCurveAUC,%Δ_IVI_vs_Orig_AttackCurveAUC,%Δ_NNSI_vs_Orig_AttackCurveAUC,%Δ_PBR_vs_Orig_RobustnessCoeff,%Δ_EFFRES_vs_Orig_RobustnessCoeff,%Δ_IVI_vs_Orig_RobustnessCoeff,%Δ_NNSI_vs_Orig_RobustnessCoeff,%Δ_PBR_vs_Orig_ASPL,%Δ_EFFRES_vs_Orig_ASPL,%Δ_IVI_vs_Orig_ASPL,%Δ_NNSI_vs_Orig_ASPL,%Δ_PBR_vs_Orig_Diameter,%Δ_EFFRES_vs_Orig_Diameter,%Δ_IVI_vs_Orig_Diameter,%Δ_NNSI_vs_Orig_Diameter,%Δ_PBR_vs_Orig_Efficiency,%Δ_EFFRES_vs_Orig_Efficiency,%Δ_IVI_vs_Orig_Efficiency,%Δ_NNSI_vs_Orig_Efficiency,%Δ_PBR_vs_Orig_ASPLVariance,%Δ_EFFRES_vs_Orig_ASPLVariance,%Δ_IVI_vs_Orig_ASPLVariance,%Δ_NNSI_vs_Orig_ASPLVariance,%Δ_PBR_vs_Orig_ArticulationPoints,%Δ_EFFRES_vs_Orig_ArticulationPoints,%Δ_IVI_vs_Orig_ArticulationPoints,%Δ_NNSI_vs_Orig_ArticulationPoints,%Δ_PBR_vs_Orig_Bridges,%Δ_EFFRES_vs_Orig_Bridges,%Δ_IVI_vs_Orig_Bridges,%Δ_NNSI_vs_Orig_Bridges,%Δ_PBR_vs_Orig_BetCentralization,%Δ_EFFRES_vs_Orig_BetCentralization,%Δ_IVI_vs_Orig_BetCentralization,%Δ_NNSI_vs_Orig_BetCentralization,%Δ_PBR_vs_Orig_NatConnectivity,%Δ_EFFRES_vs_Orig_NatConnectivity,%Δ_IVI_vs_Orig_NatConnectivity,%Δ_NNSI_vs_Orig_NatConnectivity,%Δ_PBR_vs_Orig_EffResistance,%Δ_EFFRES_vs_Orig_EffResistance,%Δ_IVI_vs_Orig_EffResistance,%Δ_NNSI_vs_Orig_EffResistance,%Δ_PBR_vs_Orig_λ₂_λₙ_Ratio,%Δ_EFFRES_vs_Orig_λ₂_λₙ_Ratio,%Δ_IVI_vs_Orig_λ₂_λₙ_Ratio,%Δ_NNSI_vs_Orig_λ₂_λₙ_Ratio,%Δ_PBR_vs_Orig_Assortativity,%Δ_EFFRES_vs_Orig_Assortativity,%Δ_IVI_vs_Orig_Assortativity,%Δ_NNSI_vs_Orig_Assortativity,%Δ_PBR_vs_Orig_AvgClustering,%Δ_EFFRES_vs_Orig_AvgClustering,%Δ_IVI_vs_Orig_AvgClustering,%Δ_NNSI_vs_Orig_AvgClustering,%Δ_PBR_vs_Orig_Transitivity,%Δ_EFFRES_vs_Orig_Transitivity,%Δ_IVI_vs_Orig_Transitivity,%Δ_NNSI_vs_Orig_Transitivity,%Δ_PBR_vs_EFFRES_λ₂,%Δ_PBR_vs_EFFRES_AvgNodeConn,%Δ_PBR_vs_EFFRES_EdgeConn,%Δ_PBR_vs_EFFRES_SpectralGap,%Δ_PBR_vs_EFFRES_GCC_5%,%Δ_PBR_vs_EFFRES_GCC_10%,%Δ_PBR_vs_EFFRES_AttackCurveAUC,%Δ_PBR_vs_EFFRES_RobustnessCoeff,%Δ_PBR_vs_EFFRES_ASPL,%Δ_PBR_vs_EFFRES_Diameter,%Δ_PBR_vs_EFFRES_Efficiency,%Δ_PBR_vs_EFFRES_ASPLVariance,%Δ_PBR_vs_EFFRES_ArticulationPoints,%Δ_PBR_vs_EFFRES_Bridges,%Δ_PBR_vs_EFFRES_BetCentralization,%Δ_PBR_vs_EFFRES_NatConnectivity,%Δ_PBR_vs_EFFRES_EffResistance,%Δ_PBR_vs_EFFRES_λ₂_λₙ_Ratio,%Δ_PBR_vs_EFFRES_Assortativity,%Δ_PBR_vs_EFFRES_AvgClustering,%Δ_PBR_vs_EFFRES_Transitivity
HurricaneElectric,24,37,0.12587353525715755,1.3723849372384938,1.0,0.12587353525715755,0.8695652173913043,0.5454545454545454,0.12593101825710523,0.18923611111111124,2.760869565217391,6.0,0.4482487922705324,1.2978890989287961,6,7,9.593939393939394,1.7241998873252427,434.0737687690473,0.06916844875418508,-0.24604441863840953,0.2970238095238095,0.2109375,6,0.2236007966733318,1.4034334763948497,1.0,0.2236007966733318,0.8695652173913043,0.5454545454545454,0.1278357801618671,0.18923611111111124,2.3731884057971016,4.0,0.4975845410628028,0.7339188195757195,6,7,14.127272727272725,2.596274507884448,360.6395980457544,0.12824999267893056,-0.22339919875059439,0.4090354090354089,0.32242990654205606,0.2565854486041333,2.407725321888412,2.0,0.2565854486041333,1.0,1.0,0.18950000000000003,0.2812500000000001,2.3731884057971016,4.0,0.4957729468599045,0.6904405587061542,0,0,6.160606060606059,1.8388127380149313,248.56500984122164,0.13994667687167173,-0.22996042962125493,0.28948412698412695,0.17763157894736842,0.21017589036593742,2.424892703862661,2.0,0.21017589036593742,1.0,0.9545454545454546,0.18752705627705626,0.26041666666666674,2.467391304347826,4.0,0.48490338164251306,0.8214004410838059,0,0,7.212121212121211,1.8813455765013178,262.006227145914,0.11577320364627577,-0.14354373598205714,0.2849537037037037,0.19867549668874174,0.2236007966733318,1.4034334763948497,1.0,0.2236007966733318,0.8695652173913043,0.5454545454545454,0.1278357801618671,0.18923611111111124,2.3731884057971016,4.0,0.4975845410628028,0.7339188195757195,6,7,14.127272727272725,2.596274507884448,360.6395980457544,0.12824999267893056,-0.22339919875059439,0.4090354090354089,0.32242990654205606,77.64,103.84,66.97,77.64,2.26,75.44,76.69,2.26,0.0,100.0,100.0,0.0,77.64,103.84,66.97,77.64,0.0,15.0,15.0,0.0,0.0,83.33,75.0,0.0,1.51,50.48,48.91,1.51,0.0,48.62,37.61,0.0,14.04,14.04,10.63,14.04,33.33,33.33,33.33,33.33,11.01,10.6,8.18,11.01,43.45,46.8,36.71,43.45,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,-47.25,35.79,24.83,-47.25,50.58,6.65,9.11,50.58,16.92,42.74,39.64,16.92,85.42,102.33,67.38,85.42,-9.2,-6.54,-41.66,-9.2,37.71,-2.54,-4.06,37.71,52.86,-15.79,-5.81,52.86,-12.86,-41.71,-50.0,-12.86,-13.04,-45.45,-32.54,-32.72,0.0,0.0,0.37,6.3,60000000000.0,70000000000.0,129.32,41.19,45.09,-8.36,2.85,41.3,81.52
Nextgen,17,19,0.040757921679789436,1.4700854700854702,1.0,0.040757921679789436,1.0,1.0,0.1595,0.2733564013840829,3.9558823529411766,10.0,0.3792045985060693,4.95393598615917,3,2,7.466666666666667,0.9315960975108394,376.63636363636545,0.020652149044758417,-0.2179487179487197,0.0,0.0,5,0.11578536219195572,1.6517857142857142,2.0,0.11578536219195572,1.0,1.0,0.16707142857142857,0.2733564013840829,2.625,6.0,0.4808823529411763,1.3079044117647058,1,0,11.02222222222222,1.4264543751704464,200.86206476747017,0.06021386689696161,-0.08661417322834651,0.19467787114845936,0.1935483870967742,0.2869840478834103,2.4642857142857144,2.0,0.2869840478834103,1.0,1.0,0.20000000000000004,0.3391003460207611,2.426470588235294,4.0,0.4969362745098034,0.8181228373702423,0,0,3.3377777777777777,1.1574524237050763,142.36629938465666,0.15085087392630847,-0.11627906976744441,0.0,0.0,0.15727356652021568,2.0,2.0,0.15727356652021568,1.0,1.0,0.16707142857142857,0.2733564013840829,2.514705882352941,5.0,0.4905637254901958,1.0586072664359865,0,0,10.857777777777779,1.3815010084323558,178.15372000690482,0.08298170812594521,-0.09606299212598458,0.1827731092436975,0.14516129032258063,0.04518544421923681,1.6071428571428572,1.0,0.04518544421923681,1.0,1.0,0.20000000000000004,0.3079584775086504,3.286764705882353,8.0,0.43933823529411775,3.4104130622837365,3,2,7.5377777777777775,1.3104892402685901,276.72352941176416,0.02295345825327966,0.46518105849582114,0.0980392156862745,0.18367346938775508,184.08,604.12,285.87,10.86,12.36,67.63,36.05,9.32,100.0,100.0,100.0,0.0,184.08,604.12,285.87,10.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,25.39,4.75,25.39,0.0,24.05,0.0,12.66,33.64,38.66,36.43,16.91,40.0,60.0,50.0,20.0,26.81,31.05,29.37,15.86,73.6,83.49,78.63,31.16,66.67,100.0,100.0,0.0,100.0,100.0,100.0,0.0,-47.62,55.3,-45.42,-0.95,53.12,24.24,48.29,40.67,46.67,62.2,52.7,26.53,191.56,630.44,301.81,11.14,-60.26,-46.65,-55.92,-313.44,1946778711.48,0.0,1827731092.44,980392156.86,1935483870.97,0.0,1451612903.23,1836734693.88,-59.65,-32.97,0.0,-59.65,0.0,0.0,-16.46,-19.39,8.18,50.0,-3.23,59.87,10000000000.0,0.0,230.23,23.24,41.09,-60.08,25.51,1946778711.48,1935483870.97
Internetmci,19,33,0.194963978181941,2.028985507246377,1.0,0.194963978181941,1.0,1.0,0.18286764705882355,0.26315789473684204,2.391812865497076,4.0,0.5102339181286552,0.8932663041619645,1,1,4.41904761904762,1.8908869703620328,181.99822695035456,0.11160561234417231,-0.09926715522984533,0.3992481203007519,0.3302752293577982,5,0.281307300407404,2.1353383458646618,1.0,0.281307300407404,1.0,1.0,0.183125,0.26315789473684204,2.134502923976608,4.0,0.5550682261208582,0.642727676892035,1,1,9.133333333333335,2.5634307618528873,149.76896180967984,0.16941006621998,-0.1749824314827827,0.5488038277511961,0.36627906976744184,0.3348645806546243,2.954887218045113,2.0,0.3348645806546243,1.0,1.0,0.20000000000000004,0.3628808864265927,2.0760233918128654,4.0,0.5623781676413259,0.5380800930200745,0,0,2.8156862745098037,2.0235623832845433,119.86529412744336,0.19499457260453593,-0.05075757575757486,0.3150375939849624,0.2727272727272727,0.281307300407404,2.1353383458646618,1.0,0.281307300407404,1.0,1.0,0.183125,0.26315789473684204,2.134502923976608,4.0,0.5550682261208582,0.642727676892035,1,1,9.133333333333335,2.5634307618528873,149.76896180967984,0.16941006621998,-0.1749824314827827,0.5488038277511961,0.36627906976744184,0.281307300407404,2.1353383458646618,1.0,0.281307300407404,1.0,1.0,0.183125,0.26315789473684204,2.134502923976608,4.0,0.5550682261208582,0.642727676892035,1,1,9.133333333333335,2.5634307618528873,149.76896180967984,0.16941006621998,-0.1749824314827827,0.5488038277511961,0.36627906976744184,44.29,71.76,44.29,44.29,5.24,45.63,5.24,5.24,0.0,100.0,0.0,0.0,44.29,71.76,44.29,44.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,9.37,0.14,0.14,0.0,37.89,0.0,0.0,10.76,13.2,10.76,10.76,0.0,0.0,0.0,0.0,8.79,10.22,8.79,8.79,28.05,39.76,28.05,28.05,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,-106.68,36.28,-106.68,-106.68,35.57,7.02,35.57,35.57,17.71,34.14,17.71,17.71,51.79,74.72,51.79,51.79,76.27,-48.87,76.27,76.27,37.46,-21.09,37.46,37.46,10.9,-17.42,10.9,10.9,-15.99,-27.74,-50.0,-15.99,0.0,0.0,-8.44,-27.48,2.82,0.0,-1.3,19.45,10000000000.0,10000000000.0,224.37,26.68,24.95,-13.12,-244.74,74.2,34.3
Layer42,6,7,0.46415125333171003,1.125,1.0,0.46415125333171003,0.6,0.6,0.12200000000000001,0.38888888888888884,1.6666666666666667,3.0,0.7111111111111111,0.4888888888888889,1,2,3.5,1.2073063588242663,18.500000000000007,0.2541998709426992,-0.6041666666666675,0.4166666666666667,0.46153846153846156,2,0.7395626450721654,1.3333333333333333,1.0,0.7395626450721654,0.8,0.8,0.161,0.4166666666666666,1.4,2.0,0.8,0.2400000000000001,1,1,2.5,1.7284825366216192,12.700000000000003,0.4503277115752184,-0.6363636363636349,0.6777777777777777,0.6521739130434783,0.8062870566386033,2.3333333333333335,2.0,0.8062870566386033,1.0,1.0,0.20000000000000004,0.4444444444444444,1.4,2.0,0.8,0.2400000000000001,0,0,1.25,1.5114185401787845,10.000000000000004,0.4333992118017285,-0.8000000000000017,0.27777777777777773,0.30000000000000004,0.7499999999999998,2.0,2.0,0.7499999999999998,1.0,1.0,0.20000000000000004,0.47222222222222215,1.4,2.0,0.8,0.2400000000000001,0,0,1.0,1.6037944933415291,10.833333333333336,0.49999999999966643,-0.500000000000003,0.75,0.5714285714285714,0.5,2.0,2.0,0.5,1.0,1.0,0.20000000000000004,0.47222222222222227,1.4666666666666666,3.0,0.788888888888889,0.3822222222222223,0,0,1.3333333333333333,1.5802057561435294,11.109090909090911,0.3097208790164215,-0.26000000000000295,0.7222222222222222,0.6000000000000001,59.34,73.71,61.59,7.72,18.52,107.41,77.78,77.78,0.0,100.0,100.0,100.0,59.34,73.71,61.59,7.72,33.33,66.67,66.67,66.67,33.33,66.67,66.67,66.67,31.97,63.93,63.93,63.93,7.14,14.29,21.43,21.43,16.0,16.0,16.0,12.0,33.33,33.33,33.33,0.0,12.5,12.5,12.5,10.94,50.91,50.91,50.91,21.82,0.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,28.57,64.29,71.43,61.9,43.17,25.19,32.84,30.89,31.35,45.95,41.44,39.95,77.15,70.5,96.7,21.84,5.33,32.41,-17.24,-56.97,62.67,-33.33,80.0,73.33,41.3,-35.0,23.81,30.0,-8.28,-42.86,-50.0,-8.28,-20.0,-20.0,-19.5,-6.25,0.0,0.0,0.0,0.0,10000000000.0,10000000000.0,100.0,14.36,27.0,3.91,20.45,144.0,117.39
Zamren,36,35,0.013110314429775336,1.0,1.0,0.013110314429775336,0.8,0.45454545454545453,0.09507485738759049,0.11651234567901225,5.29047619047619,10.0,0.2748872511967738,6.8092743764172345,12,35,21.41176470588235,0.9573390576586439,3332.9999999999513,0.0065551572148843905,-0.7052810902896083,0.0,0.0,9,0.1085856144692303,1.0784982935153584,1.0,0.1085856144692303,0.8,0.45454545454545453,0.09507485738759049,0.11651234567901225,2.7444444444444445,5.0,0.41616402116401885,0.7616754850088182,7,24,25.682352941176475,1.7133484756703772,1279.7860674157312,0.057669132909721414,-0.4158648706435748,0.11423059964726631,0.10526315789473684,0.12967849154194838,1.5341296928327646,1.0,0.12967849154194838,0.8571428571428571,0.6363636363636364,0.13334768716365097,0.1574074074074073,3.1920634920634923,5.0,0.37283068783068496,1.209143361048123,4,12,14.745098039215682,1.1454390800279703,1089.9124242056616,0.0670094868201577,-0.47849462365591416,0.0,0.0,0.12997275525028879,1.5665529010238908,1.0,0.12997275525028879,0.8857142857142857,0.6666666666666666,0.12153933759265664,0.1419753086419752,3.3634920634920635,6.0,0.3600793650793626,1.425016376921139,5,10,12.416666666666664,1.1497316979778847,1113.1407736514664,0.0671291294345398,-0.5065666041275794,0.033179012345679014,0.025,0.10564020501432045,1.1501706484641638,1.0,0.10564020501432045,0.8285714285714286,0.5151515151515151,0.10049357458121282,0.12577160493827155,3.2587301587301587,5.0,0.37116402116401814,1.4076618795666416,8,23,12.117647058823529,1.355657599109765,1350.8951812694088,0.054315104092758984,-0.6426871044533469,0.03353174603174603,0.07547169811320756,728.25,889.13,891.38,705.78,7.85,53.41,56.66,15.02,0.0,0.0,0.0,0.0,728.25,889.13,891.38,705.78,0.0,7.14,10.71,3.57,0.0,40.0,46.67,13.33,0.0,40.26,27.84,5.7,0.0,35.1,21.85,7.95,48.12,39.66,36.42,38.4,50.0,50.0,40.0,50.0,51.39,35.63,30.99,35.02,88.81,82.24,79.07,79.33,41.67,66.67,58.33,33.33,31.43,65.71,71.43,34.29,-19.95,31.14,42.01,43.41,78.97,19.65,20.1,41.61,61.6,67.3,66.6,59.47,779.75,922.24,924.06,728.58,-41.04,-32.16,-28.18,-8.88,1142305996.47,0.0,331790123.46,335317460.32,1052631578.95,0.0,250000000.0,754716981.13,-16.27,-29.7,0.0,-16.27,-6.67,-28.57,-28.7,-25.98,-14.02,0.0,11.62,-37.01,75.0,100.0,74.18,49.58,17.42,-13.94,13.09,1142305996.47,1052631578.95
