Graph,N,M,Orig_λ₂,Orig_AvgNodeConn,Orig_EdgeConn,Orig_SpectralGap,Orig_GCC_5%,Orig_GCC_10%,Orig_AttackCurveAUC,Orig_RobustnessCoeff,Orig_ASPL,Orig_Diameter,Orig_Efficiency,Orig_ASPLVariance,Orig_ArticulationPoints,Orig_Bridges,Orig_BetCentralization,Orig_NatConnectivity,Orig_EffResistance,Orig_λ₂_λₙ_Ratio,Orig_Assortativity,Orig_AvgClustering,Orig_Transitivity,BudgetEdges,PBR_λ₂,PBR_AvgNodeConn,PBR_EdgeConn,PBR_SpectralGap,PBR_GCC_5%,PBR_GCC_10%,PBR_AttackCurveAUC,PBR_RobustnessCoeff,PBR_ASPL,PBR_Diameter,PBR_Efficiency,PBR_ASPLVariance,PBR_ArticulationPoints,PBR_Bridges,PBR_BetCentralization,PBR_NatConnectivity,PBR_EffResistance,PBR_λ₂_λₙ_Ratio,PBR_Assortativity,PBR_AvgClustering,PBR_Transitivity,EFFRES_λ₂,EFFRES_AvgNodeConn,EFFRES_EdgeConn,EFFRES_SpectralGap,EFFRES_GCC_5%,EFFRES_GCC_10%,EFFRES_AttackCurveAUC,EFFRES_RobustnessCoeff,EFFRES_ASPL,EFFRES_Diameter,EFFRES_Efficiency,EFFRES_ASPLVariance,EFFRES_ArticulationPoints,EFFRES_Bridges,EFFRES_BetCentralization,EFFRES_NatConnectivity,EFFRES_EffResistance,EFFRES_λ₂_λₙ_Ratio,EFFRES_Assortativity,EFFRES_AvgClustering,EFFRES_Transitivity,IVI_λ₂,IVI_AvgNodeConn,IVI_EdgeConn,IVI_SpectralGap,IVI_GCC_5%,IVI_GCC_10%,IVI_AttackCurveAUC,IVI_RobustnessCoeff,IVI_ASPL,IVI_Diameter,IVI_Efficiency,IVI_ASPLVariance,IVI_ArticulationPoints,IVI_Bridges,IVI_BetCentralization,IVI_NatConnectivity,IVI_EffResistance,IVI_λ₂_λₙ_Ratio,IVI_Assortativity,IVI_AvgClustering,IVI_Transitivity,NNSI_λ₂,NNSI_AvgNodeConn,NNSI_EdgeConn,NNSI_SpectralGap,NNSI_GCC_5%,NNSI_GCC_10%,NNSI_AttackCurveAUC,NNSI_RobustnessCoeff,NNSI_ASPL,NNSI_Diameter,NNSI_Efficiency,NNSI_ASPLVariance,NNSI_ArticulationPoints,NNSI_Bridges,NNSI_BetCentralization,NNSI_NatConnectivity,NNSI_EffResistance,NNSI_λ₂_λₙ_Ratio,NNSI_Assortativity,NNSI_AvgClustering,NNSI_Transitivity,%Δ_PBR_vs_Orig_λ₂,%Δ_EFFRES_vs_Orig_λ₂,%Δ_IVI_vs_Orig_λ₂,%Δ_NNSI_vs_Orig_λ₂,%Δ_PBR_vs_Orig_AvgNodeConn,%Δ_EFFRES_vs_Orig_AvgNodeConn,%Δ_IVI_vs_Orig_AvgNodeConn,%Δ_NNSI_vs_Orig_AvgNodeConn,%Δ_PBR_vs_Orig_EdgeConn,%Δ_EFFRES_vs_Orig_EdgeConn,%Δ_IVI_vs_Orig_EdgeConn,%Δ_NNSI_vs_Orig_EdgeConn,%Δ_PBR_vs_Orig_SpectralGap,%Δ_EFFRES_vs_Orig_SpectralGap,%Δ_IVI_vs_Orig_SpectralGap,%Δ_NNSI_vs_Orig_SpectralGap,%Δ_PBR_vs_Orig_GCC_5%,%Δ_EFFRES_vs_Orig_GCC_5%,%Δ_IVI_vs_Orig_GCC_5%,%Δ_NNSI_vs_Orig_GCC_5%,%Δ_PBR_vs_Orig_GCC_10%,%Δ_EFFRES_vs_Orig_GCC_10%,%Δ_IVI_vs_Orig_GCC_10%,%Δ_NNSI_vs_Orig_GCC_10%,%Δ_PBR_vs_Orig_AttackCurveAUC,%Δ_EFFRES_vs_Orig_AttackCurveAUC,%Δ_IVI_vs_Orig_AttackCurveAUC,%Δ_NNSI_vs_Orig_AttackCurveAUC,%Δ_PBR_vs_Orig_RobustnessCoeff,%Δ_EFFRES_vs_Orig_RobustnessCoeff,%Δ_IVI_vs_Orig_RobustnessCoeff,%Δ_NNSI_vs_Orig_RobustnessCoeff,%Δ_PBR_vs_Orig_ASPL,%Δ_EFFRES_vs_Orig_ASPL,%Δ_IVI_vs_Orig_ASPL,%Δ_NNSI_vs_Orig_ASPL,%Δ_PBR_vs_Orig_Diameter,%Δ_EFFRES_vs_Orig_Diameter,%Δ_IVI_vs_Orig_Diameter,%Δ_NNSI_vs_Orig_Diameter,%Δ_PBR_vs_Orig_Efficiency,%Δ_EFFRES_vs_Orig_Efficiency,%Δ_IVI_vs_Orig_Efficiency,%Δ_NNSI_vs_Orig_Efficiency,%Δ_PBR_vs_Orig_ASPLVariance,%Δ_EFFRES_vs_Orig_ASPLVariance,%Δ_IVI_vs_Orig_ASPLVariance,%Δ_NNSI_vs_Orig_ASPLVariance,%Δ_PBR_vs_Orig_ArticulationPoints,%Δ_EFFRES_vs_Orig_ArticulationPoints,%Δ_IVI_vs_Orig_ArticulationPoints,%Δ_NNSI_vs_Orig_ArticulationPoints,%Δ_PBR_vs_Orig_Bridges,%Δ_EFFRES_vs_Orig_Bridges,%Δ_IVI_vs_Orig_Bridges,%Δ_NNSI_vs_Orig_Bridges,%Δ_PBR_vs_Orig_BetCentralization,%Δ_EFFRES_vs_Orig_BetCentralization,%Δ_IVI_vs_Orig_BetCentralization,%Δ_NNSI_vs_Orig_BetCentralization,%Δ_PBR_vs_Orig_NatConnectivity,%Δ_EFFRES_vs_Orig_NatConnectivity,%Δ_IVI_vs_Orig_NatConnectivity,%Δ_NNSI_vs_Orig_NatConnectivity,%Δ_PBR_vs_Orig_EffResistance,%Δ_EFFRES_vs_Orig_EffResistance,%Δ_IVI_vs_Orig_EffResistance,%Δ_NNSI_vs_Orig_EffResistance,%Δ_PBR_vs_Orig_λ₂_λₙ_Ratio,%Δ_EFFRES_vs_Orig_λ₂_λₙ_Ratio,%Δ_IVI_vs_Orig_λ₂_λₙ_Ratio,%Δ_NNSI_vs_Orig_λ₂_λₙ_Ratio,%Δ_PBR_vs_Orig_Assortativity,%Δ_EFFRES_vs_Orig_Assortativity,%Δ_IVI_vs_Orig_Assortativity,%Δ_NNSI_vs_Orig_Assortativity,%Δ_PBR_vs_Orig_AvgClustering,%Δ_EFFRES_vs_Orig_AvgClustering,%Δ_IVI_vs_Orig_AvgClustering,%Δ_NNSI_vs_Orig_AvgClustering,%Δ_PBR_vs_Orig_Transitivity,%Δ_EFFRES_vs_Orig_Transitivity,%Δ_IVI_vs_Orig_Transitivity,%Δ_NNSI_vs_Orig_Transitivity,%Δ_PBR_vs_EFFRES_λ₂,%Δ_PBR_vs_EFFRES_AvgNodeConn,%Δ_PBR_vs_EFFRES_EdgeConn,%Δ_PBR_vs_EFFRES_SpectralGap,%Δ_PBR_vs_EFFRES_GCC_5%,%Δ_PBR_vs_EFFRES_GCC_10%,%Δ_PBR_vs_EFFRES_AttackCurveAUC,%Δ_PBR_vs_EFFRES_RobustnessCoeff,%Δ_PBR_vs_EFFRES_ASPL,%Δ_PBR_vs_EFFRES_Diameter,%Δ_PBR_vs_EFFRES_Efficiency,%Δ_PBR_vs_EFFRES_ASPLVariance,%Δ_PBR_vs_EFFRES_ArticulationPoints,%Δ_PBR_vs_EFFRES_Bridges,%Δ_PBR_vs_EFFRES_BetCentralization,%Δ_PBR_vs_EFFRES_NatConnectivity,%Δ_PBR_vs_EFFRES_EffResistance,%Δ_PBR_vs_EFFRES_λ₂_λₙ_Ratio,%Δ_PBR_vs_EFFRES_Assortativity,%Δ_PBR_vs_EFFRES_AvgClustering,%Δ_PBR_vs_EFFRES_Transitivity
Arpanet19723,25,28,0.033920611518013864,1.9227941176470589,1.0,0.033920611518013864,1.0,0.6956521739130435,0.1579472990777339,0.21440000000000003,4.576666666666667,10.0,0.3213174603174601,5.764122222222222,1,1,8.681159420289854,0.9243644418846353,821.0620155038757,0.01725377143995164,-0.4807692307692334,0.0,0.0,7,0.10410246783945812,1.9358490566037736,1.0,0.10410246783945812,1.0,0.5217391304347826,0.13285766045548655,0.2192,2.87,6.0,0.42727777777777864,1.2597666666666665,1,1,16.086956521739133,1.410378387647254,452.6659926939585,0.055957204314024005,-0.07461476074614751,0.11022222222222222,0.12244897959183673,0.22759916066731428,2.5584905660377357,2.0,0.22759916066731428,1.0,1.0,0.19950000000000004,0.29120000000000007,2.8633333333333333,5.0,0.42227777777777914,1.037988888888889,0,0,4.231884057971015,1.1242834282637626,342.7656763663005,0.11801220534687877,-0.060606060606052864,0.0,0.0,0.21821378136710212,2.362264150943396,1.0,0.21821378136710212,1.0,0.9565217391304348,0.19031498211932996,0.27520000000000006,2.8133333333333335,5.0,0.42766666666666814,1.0051555555555554,1,1,4.5144927536231885,1.136984666654586,351.6125875801198,0.11376575952288184,-0.4705882352941159,0.0,0.0,0.0934591582465206,2.328301886792453,2.0,0.0934591582465206,1.0,1.0,0.19875000000000004,0.3072,3.2266666666666666,7.0,0.3965873015873021,1.7819555555555548,0,0,6.965217391304348,1.185582240723114,426.698065707027,0.04926406446417737,-0.060606060606052864,0.1733333333333333,0.13636363636363635,206.9,570.98,543.31,175.52,0.68,33.06,22.86,21.09,0.0,100.0,0.0,100.0,206.9,570.98,543.31,175.52,0.0,0.0,0.0,0.0,-25.0,43.75,37.5,43.75,-15.88,26.31,20.49,25.83,2.24,35.82,28.36,43.28,37.29,37.44,38.53,29.5,40.0,50.0,50.0,30.0,32.98,31.42,33.1,23.43,78.14,81.99,82.56,69.09,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,-85.31,51.25,48.0,19.77,52.58,21.63,23.0,28.26,44.87,58.25,57.18,48.03,224.32,583.98,559.37,185.53,-84.48,-87.39,-2.12,-87.39,1102222222.22,0.0,0.0,1733333333.33,1224489795.92,0.0,0.0,1363636363.64,-54.26,-24.34,-50.0,-54.26,0.0,-47.83,-33.4,-24.73,0.23,20.0,1.18,21.37,10000000000.0,10000000000.0,280.14,25.45,32.06,-52.58,-23.11,1102222222.22,1224489795.92
Cesnet200304,29,33,0.12609456766347582,1.0670241286863271,1.0,0.12609456766347582,0.6071428571428571,0.37037037037037035,0.07994851444851445,0.11414982164090359,2.960591133004926,6.0,0.40316091954022953,1.2250479264238394,9,18,20.25925925925926,1.2861927127786363,887.0256410256412,0.06523876075240659,-0.3525270304249437,0.0780564263322884,0.07627118644067797,8,0.23024362065369086,1.1479452054794521,1.0,0.23024362065369086,0.6071428571428571,0.37037037037037035,0.07257928367928368,0.11414982164090359,2.37192118226601,4.0,0.4768062397372739,0.5587189691572229,7,14,23.85185185185185,2.2687526206756923,692.9617579908673,0.12630458719055265,-0.39565638340007936,0.3081064730792498,0.16216216216216217,0.21610673353754692,1.7863013698630137,1.0,0.21610673353754692,0.8214285714285714,0.8148148148148148,0.13957189662189662,0.1902497027348394,2.6305418719211824,4.0,0.4408866995073888,0.7304957654881216,2,6,15.679012345679011,1.4139770681083998,538.5536789861161,0.11372457851397824,-0.3226494614704201,0.0780564263322884,0.06474820143884892,0.22192803835404445,1.632876712328767,1.0,0.22192803835404445,0.8214285714285714,0.7407407407407407,0.12053457468457468,0.16527942925089167,2.541871921182266,4.0,0.4546387520525446,0.7211531461573929,2,6,18.735802469135802,1.7055721426711834,560.0704440968716,0.11965265591818942,-0.35605630246796677,0.24540229885057468,0.11351351351351352,0.23024362065369086,1.1479452054794521,1.0,0.23024362065369086,0.6071428571428571,0.37037037037037035,0.07257928367928368,0.11414982164090359,2.37192118226601,4.0,0.4768062397372739,0.5587189691572229,7,14,23.85185185185185,2.2687526206756923,692.9617579908673,0.12630458719055265,-0.39565638340007936,0.3081064730792498,0.16216216216216217,82.6,71.38,76.0,82.6,7.58,67.41,53.03,7.58,0.0,0.0,0.0,0.0,82.6,71.38,76.0,82.6,0.0,35.29,35.29,0.0,0.0,120.0,100.0,0.0,-9.22,74.58,50.77,-9.22,0.0,66.67,44.79,0.0,19.88,11.15,14.14,19.88,33.33,33.33,33.33,33.33,18.27,9.36,12.77,18.27,54.39,40.37,41.13,54.39,22.22,77.78,77.78,22.22,22.22,66.67,66.67,22.22,-17.73,22.61,7.52,-17.73,76.39,9.94,32.61,76.39,21.88,39.29,36.86,21.88,93.6,74.32,83.41,93.6,12.23,-8.48,1.0,12.23,294.72,0.0,214.39,294.72,112.61,-15.11,48.83,112.61,6.54,-35.74,0.0,6.54,-26.09,-54.55,-48.0,-40.0,-9.83,0.0,8.15,-23.52,250.0,133.33,52.13,60.45,28.67,11.06,-22.63,294.72,150.45
Iij,37,65,0.10562883980679384,1.5058236272878536,1.0,0.10562883980679384,0.9444444444444444,0.2647058823529412,0.0970578930741407,0.1154127100073047,2.563063063063063,5.0,0.4503753753753752,0.7325095365635906,7,10,14.239999999999998,3.033661127154765,914.4485612949674,0.05731936087954158,-0.46419951729686226,0.4857326386738152,0.21621621621621623,10,0.16897245222472862,1.8071065989847717,1.0,0.16897245222472862,0.9444444444444444,0.2647058823529412,0.0970578930741407,0.1154127100073047,2.2267267267267266,4.0,0.5060060060060062,0.5506970934898863,2,4,22.958503401360545,3.7940106501855824,684.6356114503469,0.09595122768076961,-0.4788511718472855,0.6702351702351703,0.18804664723032072,0.18004123116186604,2.1336717428087986,2.0,0.18004123116186604,0.9444444444444444,0.6764705882352942,0.13247395803384895,0.1548575602629658,2.421921921921922,4.0,0.4713463463463463,0.5682281380479578,1,0,13.467619047619046,3.1441765374925312,611.044360433905,0.10055311614871477,-0.3099167917064518,0.486343333402157,0.22105263157894733,0.12811494642418822,2.1996615905245345,2.0,0.12811494642418822,1.0,0.5882352941176471,0.11882628946006556,0.14243973703433174,2.484984984984985,5.0,0.4647397397397397,0.6731979727475224,0,0,13.829614512471657,3.1744536827985574,636.4726792724225,0.07128305883489748,-0.2832133000179644,0.4324659265835737,0.22784810126582278,0.23346395030725614,1.5397631133671743,1.0,0.23346395030725614,0.9444444444444444,0.2647058823529412,0.09614880216504978,0.1154127100073047,2.1996996996997,4.0,0.5060060060060061,0.42708699690681684,7,10,23.204761904761906,4.137694318932126,772.8614662023584,0.13282635421947037,-0.45679191450263523,0.5596427596427598,0.23504273504273504,59.97,70.45,21.29,121.02,20.01,41.69,46.08,2.25,0.0,100.0,100.0,0.0,59.97,70.45,21.29,121.02,0.0,0.0,5.88,0.0,0.0,155.56,122.22,0.0,0.0,36.49,22.43,-0.94,0.0,34.18,23.42,0.0,13.12,5.51,3.05,14.18,20.0,20.0,0.0,20.0,12.35,4.66,3.19,12.35,24.82,22.43,8.1,41.7,71.43,85.71,100.0,0.0,60.0,100.0,100.0,0.0,-61.23,5.42,2.88,-62.95,25.06,3.64,4.64,36.39,25.13,33.18,30.4,15.48,67.4,75.43,24.36,131.73,3.16,-33.24,-38.99,-1.6,37.98,0.13,-10.97,15.22,-13.03,2.24,5.38,8.71,-6.15,-15.31,-50.0,-6.15,0.0,-60.87,-26.73,-25.47,-8.06,0.0,7.35,-3.09,100.0,40000000000.0,70.47,20.67,12.04,-4.58,-54.51,37.81,-14.93
Sago,18,17,0.024477060136904608,1.0,1.0,0.024477060136904608,0.47058823529411764,0.47058823529411764,0.08951470588235294,0.2253086419753086,5.392156862745098,14.0,0.3095267840365883,10.042291426374472,15,17,11.25,0.7928123160015633,824.9999999999999,0.012238530068446184,0.0,0.0,0.0,5,0.18253161444195853,2.122137404580153,2.0,0.18253161444195853,1.0,1.0,0.1953333333333334,0.2932098765432098,2.7908496732026142,5.0,0.4430283224400868,1.1457986244606777,0,0,5.21875,1.0031265388851047,217.77134243097436,0.09393166385251014,-0.07317073170731574,0.0,0.0,0.18434911608153123,2.1755725190839694,2.0,0.18434911608153123,1.0,1.0,0.1953333333333334,0.2870370370370369,2.8627450980392157,5.0,0.4375816993464049,1.2948865820838138,0,0,3.625,0.9976956385638399,216.91785354625233,0.09409010600567505,-0.2833333333333314,0.0,0.0,0.1957395411206338,2.1755725190839694,2.0,0.1957395411206338,1.0,1.0,0.19300000000000003,0.3024691358024689,2.8366013071895426,5.0,0.43888888888888866,1.2085949848348927,0,0,3.625,0.9976870692387401,216.30453440137325,0.10171141391290571,-0.2833333333333314,0.0,0.0,0.02305340693706489,1.282442748091603,1.0,0.02305340693706489,1.0,1.0,0.17816666666666667,0.28086419753086406,4.392156862745098,10.0,0.36983608258118084,7.00961168781238,5,4,9.229166666666668,1.053633489257337,518.2233502538028,0.011931516573894541,0.08333333333333423,0.09259259259259259,0.08823529411764705,645.72,653.15,699.69,-5.82,112.21,117.56,117.56,28.24,100.0,100.0,100.0,0.0,645.72,653.15,699.69,-5.82,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,118.21,118.21,115.61,99.04,30.14,27.4,34.25,24.66,48.24,46.91,47.39,18.55,64.29,64.29,64.29,28.57,43.13,41.37,41.79,19.48,88.59,87.11,87.96,30.2,100.0,100.0,100.0,66.67,100.0,100.0,100.0,76.47,53.61,67.78,67.78,17.96,26.53,25.84,25.84,32.9,73.6,73.71,73.78,37.19,667.51,668.8,731.07,-2.51,731707317.07,2833333333.33,2833333333.33,-833333333.33,0.0,0.0,0.0,925925925.93,0.0,0.0,0.0,882352941.18,-0.99,-2.46,0.0,-0.99,0.0,0.0,0.0,2.15,-2.51,0.0,1.24,-11.51,0.0,0.0,43.97,0.54,0.39,-0.17,74.18,0.0,0.0
Cesnet1993,10,9,0.24407105398154513,1.0,1.0,0.24407105398154513,0.3333333333333333,0.3333333333333333,0.06895833333333333,0.21000000000000005,2.066666666666667,3.0,0.5555555555555558,0.4622222222222223,2,9,8.25,0.9176730708015418,93.00000000000009,0.1220355269907116,-0.7647058823529408,0.0,0.0,3,0.5718075074684249,1.0909090909090908,1.0,0.5718075074684249,0.4444444444444444,0.4444444444444444,0.09006944444444444,0.22000000000000006,1.7333333333333334,2.0,0.6333333333333333,0.19555555555555562,1,5,7.875,1.4601817495552516,62.999999999999986,0.3062640077883835,-0.7967914438502673,0.35833333333333334,0.2,0.45083035263472404,1.393939393939394,1.0,0.45083035263472404,0.6666666666666666,0.6666666666666666,0.13354166666666667,0.26000000000000006,1.9333333333333333,3.0,0.6000000000000002,0.4622222222222223,1,3,6.770833333333333,1.1679080699371542,58.4545454545455,0.22541517631724925,-0.6312247644683716,0.0,0.0,0.3713330212235389,1.0303030303030303,1.0,0.3713330212235389,0.4444444444444444,0.4444444444444444,0.09069444444444444,0.24000000000000005,1.8666666666666667,3.0,0.6111111111111112,0.38222222222222213,2,4,7.5,1.3562565803582216,65.45833333333331,0.20683231897638668,-0.5993121238177119,0.4107142857142857,0.24324324324324326,0.4670883269339317,1.0909090909090908,1.0,0.4670883269339317,0.5555555555555556,0.5555555555555556,0.11180555555555557,0.24000000000000005,1.8444444444444446,3.0,0.6148148148148148,0.3535802469135803,2,5,7.125,1.3975018546738667,65.19047619047613,0.25982094555357066,-0.7007874015748031,0.3107142857142857,0.23076923076923078,134.28,84.71,52.14,91.37,9.09,39.39,3.03,9.09,0.0,0.0,0.0,0.0,134.28,84.71,52.14,91.37,33.33,100.0,33.33,66.67,33.33,100.0,33.33,66.67,30.61,93.66,31.52,62.13,4.76,23.81,14.29,14.29,16.13,6.45,9.68,10.75,33.33,0.0,0.0,0.0,14.0,8.0,10.0,10.67,57.69,0.0,17.31,23.5,50.0,50.0,0.0,0.0,44.44,66.67,55.56,44.44,4.55,17.93,9.09,13.64,59.12,27.27,47.79,52.29,32.26,37.15,29.61,29.9,150.96,84.71,69.49,112.91,4.2,-17.46,-21.63,-8.36,3583333333.33,0.0,4107142857.14,3107142857.14,2000000000.0,0.0,2432432432.43,2307692307.69,26.83,-21.74,0.0,26.83,-33.33,-33.33,-32.55,-15.38,-10.34,-33.33,5.56,-57.69,0.0,66.67,16.31,25.03,7.78,35.87,-26.23,3583333333.33,2000000000.0
