Graph,Reward,Attempt,RawAction,Node_U,Node_V,Edge,WasValid,WasAdded,StepReward
Ilan,EFFRES,2,4,2,11,2-11,True,True,0.10296700993663516
Ilan,EFFRES,3,1,1,6,1-6,True,True,0.10335968378649991
Ilan,EFFRES,4,1,5,12,5-12,True,True,0.10702848473713453
Ilan,IVI,1,2,1,5,1-5,True,True,0.0318437009409415
Ilan,IVI,2,13,0,4,0-4,True,True,-0.06391426740780472
Ilan,IVI,3,20,0,3,0-3,True,True,0.5394769363223043
Ilan,IVI,4,15,0,5,0-5,True,True,0.38800321415380756
Ilan,NNSI,1,64,8,13,8-13,True,True,0.062499999921874994
Ilan,NNSI,2,68,8,12,8-12,True,True,0.06002554270412942
Ilan,NNSI,3,68,9,12,9-12,True,True,-0.027913882941983884
Ilan,NNSI,4,68,1,12,1-12,True,True,-0.025111855657072628
CrlNetworkServices,PBR,1,41,6,21,6-21,True,True,0.18636363098285091
CrlNetworkServices,PBR,2,41,6,26,6-26,True,True,0.12312312019208425
CrlNetworkServices,PBR,3,51,6,24,6-24,True,True,0.1013465605925778
CrlNetworkServices,PBR,4,51,6,30,6-30,True,True,0.08371735633215238
CrlNetworkServices,PBR,5,51,6,31,6-31,True,True,0.06957013455123669
CrlNetworkServices,PBR,6,51,6,11,6-11,True,True,0.0582249849446867
CrlNetworkServices,PBR,7,51,6,23,6-23,True,True,0.049095606509391265
CrlNetworkServices,PBR,8,37,6,18,6-18,True,True,0.04513888825698208
CrlNetworkServices,PBR,9,37,6,17,6-17,True,True,0.03504043080769475
CrlNetworkServices,EFFRES,1,3,16,24,16-24,True,True,0.1744388585865835
CrlNetworkServices,EFFRES,2,3,4,29,4-29,True,True,0.12476887549822131
CrlNetworkServices,EFFRES,3,3,3,28,3-28,True,True,0.07778613692174656
CrlNetworkServices,EFFRES,4,3,7,15,7-15,True,True,0.07738100797924664
CrlNetworkServices,EFFRES,5,1,9,31,9-31,True,True,0.0753406515576086
CrlNetworkServices,EFFRES,6,1,0,21,0-21,True,True,0.060815235608752856
CrlNetworkServices,EFFRES,7,1,10,17,10-17,True,True,0.05061691672547398
CrlNetworkServices,EFFRES,8,1,12,24,12-24,True,True,0.06685654718025402
CrlNetworkServices,EFFRES,9,1,16,26,16-26,True,True,0.051076108363021865
CrlNetworkServices,IVI,1,77,5,12,5-12,True,True,0.3362794333110869
CrlNetworkServices,IVI,2,77,0,11,0-11,True,True,0.026932717379203015
CrlNetworkServices,IVI,3,77,1,10,1-10,True,True,0.12603532604708875
CrlNetworkServices,IVI,4,77,2,23,2-23,True,True,0.13600458342672672
CrlNetworkServices,IVI,5,44,11,19,11-19,True,True,0.16177518092540763
CrlNetworkServices,IVI,6,44,11,21,11-21,True,True,-0.20405871682266016
CrlNetworkServices,IVI,7,44,11,14,11-14,True,True,0.03158964287474591
CrlNetworkServices,IVI,8,44,11,22,11-22,True,True,-0.5961297999452078
CrlNetworkServices,IVI,9,44,11,30,11-30,True,True,0.12726526124241114
CrlNetworkServices,NNSI,1,74,2,12,2-12,True,True,0.49553805301129594
CrlNetworkServices,NNSI,2,74,0,7,0-7,True,True,0.0
CrlNetworkServices,NNSI,3,74,1,5,1-5,True,True,0.0
CrlNetworkServices,NNSI,4,74,3,10,3-10,True,True,0.14940958098122956
CrlNetworkServices,NNSI,5,74,4,12,4-12,True,True,0.10716969167309567
CrlNetworkServices,NNSI,6,74,9,15,9-15,True,True,-0.2127273995071294
CrlNetworkServices,NNSI,7,74,11,17,11-17,True,True,0.21248084975462117
CrlNetworkServices,NNSI,8,74,14,22,14-22,True,True,0.0027341079876363637
CrlNetworkServices,NNSI,9,74,16,24,16-24,True,True,-0.08540944199770449
Compuserve,PBR,1,35,10,12,10-12,True,True,0.10795454380907808
Compuserve,PBR,2,33,5,12,5-12,True,True,0.0758620679361475
Compuserve,PBR,3,33,4,12,4-12,True,True,0.056112968456438525
Compuserve,PBR,4,33,8,12,8-12,True,True,0.04308389972212094
Compuserve,EFFRES,1,1,4,10,4-10,True,True,0.09243956764509742
Compuserve,EFFRES,2,1,6,11,6-11,True,True,0.08087459746500092
Compuserve,EFFRES,3,6,0,11,0-11,True,True,0.09434612047267266
Compuserve,EFFRES,4,6,1,6,1-6,True,True,0.09037444651120713
Compuserve,IVI,1,35,10,12,10-12,True,True,-0.5234109090104853
Compuserve,IVI,2,33,5,12,5-12,True,True,0.3497812626554712
Compuserve,IVI,3,33,4,12,4-12,True,True,-0.0013473364156510012
Compuserve,IVI,4,33,8,12,8-12,True,True,0.38403404767963034
Compuserve,NNSI,1,7,0,6,0-6,True,True,0.0
Compuserve,NNSI,2,59,1,3,1-3,True,True,0.49999999937499995
Compuserve,NNSI,3,59,0,1,0-1,True,True,0.0
Compuserve,NNSI,4,59,5,11,5-11,True,True,0.0
