Graph,N,M,Orig_λ₂,Orig_AvgNodeConn,Orig_EdgeConn,Orig_SpectralGap,Orig_GCC_5%,Orig_GCC_10%,Orig_AttackCurveAUC,Orig_RobustnessCoeff,Orig_ASPL,Orig_Diameter,Orig_Efficiency,Orig_ASPLVariance,Orig_ArticulationPoints,Orig_Bridges,Orig_BetCentralization,Orig_NatConnectivity,Orig_EffResistance,Orig_λ₂_λₙ_Ratio,Orig_Assortativity,Orig_AvgClustering,Orig_Transitivity,BudgetEdges,PBR_λ₂,PBR_AvgNodeConn,PBR_EdgeConn,PBR_SpectralGap,PBR_GCC_5%,PBR_GCC_10%,PBR_AttackCurveAUC,PBR_RobustnessCoeff,PBR_ASPL,PBR_Diameter,PBR_Efficiency,PBR_ASPLVariance,PBR_ArticulationPoints,PBR_Bridges,PBR_BetCentralization,PBR_NatConnectivity,PBR_EffResistance,PBR_λ₂_λₙ_Ratio,PBR_Assortativity,PBR_AvgClustering,PBR_Transitivity,EFFRES_λ₂,EFFRES_AvgNodeConn,EFFRES_EdgeConn,EFFRES_SpectralGap,EFFRES_GCC_5%,EFFRES_GCC_10%,EFFRES_AttackCurveAUC,EFFRES_RobustnessCoeff,EFFRES_ASPL,EFFRES_Diameter,EFFRES_Efficiency,EFFRES_ASPLVariance,EFFRES_ArticulationPoints,EFFRES_Bridges,EFFRES_BetCentralization,EFFRES_NatConnectivity,EFFRES_EffResistance,EFFRES_λ₂_λₙ_Ratio,EFFRES_Assortativity,EFFRES_AvgClustering,EFFRES_Transitivity,IVI_λ₂,IVI_AvgNodeConn,IVI_EdgeConn,IVI_SpectralGap,IVI_GCC_5%,IVI_GCC_10%,IVI_AttackCurveAUC,IVI_RobustnessCoeff,IVI_ASPL,IVI_Diameter,IVI_Efficiency,IVI_ASPLVariance,IVI_ArticulationPoints,IVI_Bridges,IVI_BetCentralization,IVI_NatConnectivity,IVI_EffResistance,IVI_λ₂_λₙ_Ratio,IVI_Assortativity,IVI_AvgClustering,IVI_Transitivity,NNSI_λ₂,NNSI_AvgNodeConn,NNSI_EdgeConn,NNSI_SpectralGap,NNSI_GCC_5%,NNSI_GCC_10%,NNSI_AttackCurveAUC,NNSI_RobustnessCoeff,NNSI_ASPL,NNSI_Diameter,NNSI_Efficiency,NNSI_ASPLVariance,NNSI_ArticulationPoints,NNSI_Bridges,NNSI_BetCentralization,NNSI_NatConnectivity,NNSI_EffResistance,NNSI_λ₂_λₙ_Ratio,NNSI_Assortativity,NNSI_AvgClustering,NNSI_Transitivity,%Δ_PBR_vs_Orig_λ₂,%Δ_EFFRES_vs_Orig_λ₂,%Δ_IVI_vs_Orig_λ₂,%Δ_NNSI_vs_Orig_λ₂,%Δ_PBR_vs_Orig_AvgNodeConn,%Δ_EFFRES_vs_Orig_AvgNodeConn,%Δ_IVI_vs_Orig_AvgNodeConn,%Δ_NNSI_vs_Orig_AvgNodeConn,%Δ_PBR_vs_Orig_EdgeConn,%Δ_EFFRES_vs_Orig_EdgeConn,%Δ_IVI_vs_Orig_EdgeConn,%Δ_NNSI_vs_Orig_EdgeConn,%Δ_PBR_vs_Orig_SpectralGap,%Δ_EFFRES_vs_Orig_SpectralGap,%Δ_IVI_vs_Orig_SpectralGap,%Δ_NNSI_vs_Orig_SpectralGap,%Δ_PBR_vs_Orig_GCC_5%,%Δ_EFFRES_vs_Orig_GCC_5%,%Δ_IVI_vs_Orig_GCC_5%,%Δ_NNSI_vs_Orig_GCC_5%,%Δ_PBR_vs_Orig_GCC_10%,%Δ_EFFRES_vs_Orig_GCC_10%,%Δ_IVI_vs_Orig_GCC_10%,%Δ_NNSI_vs_Orig_GCC_10%,%Δ_PBR_vs_Orig_AttackCurveAUC,%Δ_EFFRES_vs_Orig_AttackCurveAUC,%Δ_IVI_vs_Orig_AttackCurveAUC,%Δ_NNSI_vs_Orig_AttackCurveAUC,%Δ_PBR_vs_Orig_RobustnessCoeff,%Δ_EFFRES_vs_Orig_RobustnessCoeff,%Δ_IVI_vs_Orig_RobustnessCoeff,%Δ_NNSI_vs_Orig_RobustnessCoeff,%Δ_PBR_vs_Orig_ASPL,%Δ_EFFRES_vs_Orig_ASPL,%Δ_IVI_vs_Orig_ASPL,%Δ_NNSI_vs_Orig_ASPL,%Δ_PBR_vs_Orig_Diameter,%Δ_EFFRES_vs_Orig_Diameter,%Δ_IVI_vs_Orig_Diameter,%Δ_NNSI_vs_Orig_Diameter,%Δ_PBR_vs_Orig_Efficiency,%Δ_EFFRES_vs_Orig_Efficiency,%Δ_IVI_vs_Orig_Efficiency,%Δ_NNSI_vs_Orig_Efficiency,%Δ_PBR_vs_Orig_ASPLVariance,%Δ_EFFRES_vs_Orig_ASPLVariance,%Δ_IVI_vs_Orig_ASPLVariance,%Δ_NNSI_vs_Orig_ASPLVariance,%Δ_PBR_vs_Orig_ArticulationPoints,%Δ_EFFRES_vs_Orig_ArticulationPoints,%Δ_IVI_vs_Orig_ArticulationPoints,%Δ_NNSI_vs_Orig_ArticulationPoints,%Δ_PBR_vs_Orig_Bridges,%Δ_EFFRES_vs_Orig_Bridges,%Δ_IVI_vs_Orig_Bridges,%Δ_NNSI_vs_Orig_Bridges,%Δ_PBR_vs_Orig_BetCentralization,%Δ_EFFRES_vs_Orig_BetCentralization,%Δ_IVI_vs_Orig_BetCentralization,%Δ_NNSI_vs_Orig_BetCentralization,%Δ_PBR_vs_Orig_NatConnectivity,%Δ_EFFRES_vs_Orig_NatConnectivity,%Δ_IVI_vs_Orig_NatConnectivity,%Δ_NNSI_vs_Orig_NatConnectivity,%Δ_PBR_vs_Orig_EffResistance,%Δ_EFFRES_vs_Orig_EffResistance,%Δ_IVI_vs_Orig_EffResistance,%Δ_NNSI_vs_Orig_EffResistance,%Δ_PBR_vs_Orig_λ₂_λₙ_Ratio,%Δ_EFFRES_vs_Orig_λ₂_λₙ_Ratio,%Δ_IVI_vs_Orig_λ₂_λₙ_Ratio,%Δ_NNSI_vs_Orig_λ₂_λₙ_Ratio,%Δ_PBR_vs_Orig_Assortativity,%Δ_EFFRES_vs_Orig_Assortativity,%Δ_IVI_vs_Orig_Assortativity,%Δ_NNSI_vs_Orig_Assortativity,%Δ_PBR_vs_Orig_AvgClustering,%Δ_EFFRES_vs_Orig_AvgClustering,%Δ_IVI_vs_Orig_AvgClustering,%Δ_NNSI_vs_Orig_AvgClustering,%Δ_PBR_vs_Orig_Transitivity,%Δ_EFFRES_vs_Orig_Transitivity,%Δ_IVI_vs_Orig_Transitivity,%Δ_NNSI_vs_Orig_Transitivity,%Δ_PBR_vs_EFFRES_λ₂,%Δ_PBR_vs_EFFRES_AvgNodeConn,%Δ_PBR_vs_EFFRES_EdgeConn,%Δ_PBR_vs_EFFRES_SpectralGap,%Δ_PBR_vs_EFFRES_GCC_5%,%Δ_PBR_vs_EFFRES_GCC_10%,%Δ_PBR_vs_EFFRES_AttackCurveAUC,%Δ_PBR_vs_EFFRES_RobustnessCoeff,%Δ_PBR_vs_EFFRES_ASPL,%Δ_PBR_vs_EFFRES_Diameter,%Δ_PBR_vs_EFFRES_Efficiency,%Δ_PBR_vs_EFFRES_ASPLVariance,%Δ_PBR_vs_EFFRES_ArticulationPoints,%Δ_PBR_vs_EFFRES_Bridges,%Δ_PBR_vs_EFFRES_BetCentralization,%Δ_PBR_vs_EFFRES_NatConnectivity,%Δ_PBR_vs_EFFRES_EffResistance,%Δ_PBR_vs_EFFRES_λ₂_λₙ_Ratio,%Δ_PBR_vs_EFFRES_Assortativity,%Δ_PBR_vs_EFFRES_AvgClustering,%Δ_PBR_vs_EFFRES_Transitivity
Renater2004,30,36,0.12022810004149018,1.368421052631579,1.0,0.12022810004149018,0.6551724137931034,0.25925925925925924,0.07992943314667453,0.12444444444444439,2.7908045977011495,7.0,0.42285714285714104,1.0941683181397805,2,11,22.02380952380952,1.3824424551558288,794.0102171819843,0.06168731017268392,-0.42057232987832355,0.05904761904761904,0.03896103896103896,8,0.19098491544527074,1.381074168797954,1.0,0.19098491544527074,0.6551724137931034,0.25925925925925924,0.07852109981334121,0.12444444444444439,2.2528735632183907,5.0,0.49708812260536306,0.5291584093010966,2,11,24.642857142857142,2.2943213866068106,615.5001590560162,0.10325971763686177,-0.4485288828141861,0.25925403099316147,0.10344827586206896,0.24454930096633062,1.7442455242966752,1.0,0.24454930096633062,0.7586206896551724,0.7037037037037037,0.1185580635201325,0.15888888888888883,2.4413793103448276,4.0,0.4634099616858215,0.5270233848592943,1,5,18.821428571428566,1.5520987087400726,536.4435318049298,0.13174399496546454,-0.3841386976986211,0.12603174603174602,0.04918032786885246,0.14252737595808496,1.5242966751918159,2.0,0.14252737595808496,0.6896551724137931,0.3333333333333333,0.09056575723127447,0.13888888888888884,2.6298850574712644,6.0,0.44570881226053444,0.8768080327652267,1,0,21.834523809523812,1.729458773970532,594.0744773232316,0.0763295188553224,-0.2571428571428571,0.3440079365079365,0.1276595744680851,0.1502486832004352,1.680306905370844,2.0,0.1502486832004352,0.7931034482758621,0.48148148148148145,0.11227348813383299,0.1566666666666666,2.659770114942529,6.0,0.4413026819923353,0.8819447747390674,1,0,21.267857142857142,1.6479376259978828,584.9368041575427,0.07925726010503606,-0.2568817923809965,0.3273015873015873,0.12,58.85,103.4,18.55,24.97,0.92,27.46,11.39,22.79,0.0,0.0,100.0,100.0,58.85,103.4,18.55,24.97,0.0,15.79,5.26,21.05,0.0,171.43,28.57,85.71,-1.76,48.33,13.31,40.47,0.0,27.68,11.61,25.89,19.28,12.52,5.77,4.7,28.57,42.86,14.29,14.29,17.55,9.59,5.4,4.36,51.64,51.83,19.87,19.4,0.0,50.0,50.0,50.0,0.0,54.55,100.0,100.0,-11.89,14.54,0.86,3.43,65.96,12.27,25.1,19.2,22.48,32.44,25.18,26.33,67.39,113.57,23.74,28.48,6.65,-8.66,-38.86,-38.92,339.06,113.44,482.59,454.3,165.52,26.23,227.66,208.0,-21.9,-20.82,0.0,-21.9,-13.64,-63.16,-33.77,-21.68,-7.72,25.0,7.27,0.41,100.0,120.0,30.93,47.82,14.74,-21.62,-16.76,105.71,110.34
Nsfnet,13,15,0.21968408123153763,1.5714285714285714,1.0,0.21968408123153763,0.9166666666666666,0.9166666666666666,0.1793181818181818,0.28994082840236696,2.423076923076923,5.0,0.5057692307692309,0.9363905325443787,3,3,5.181818181818182,0.9901157196269235,122.05504587155967,0.11386687433968928,-0.22009569377990418,0.0,0.0,4,0.33135258147076246,1.5932203389830508,1.0,0.33135258147076246,0.9166666666666666,0.9166666666666666,0.17113636363636364,0.27218934911242615,2.1025641025641026,4.0,0.5673076923076923,0.6561472715318868,3,3,6.787878787878788,1.6199595911732132,95.72418136020147,0.18540306166941456,-0.24537815126050366,0.19322344322344318,0.25862068965517243,0.4353224674126874,2.457627118644068,2.0,0.4353224674126874,1.0,1.0,0.1959090909090909,0.34319526627218927,2.0,3.0,0.5811965811965811,0.48717948717948717,0,0,2.3636363636363638,1.20765129585681,69.45269175797996,0.2418294957856211,-0.4301075268817198,0.0,0.0,0.2550906309562806,1.9322033898305084,1.0,0.2550906309562806,0.9166666666666666,0.9166666666666666,0.1793181818181818,0.2840236686390533,2.141025641025641,4.0,0.5630341880341878,0.7365220249835636,1,1,5.924242424242423,1.5033560898433822,87.53286147623862,0.13673642946292214,-0.26362179487179505,0.26483516483516484,0.23076923076923078,0.23436146383118317,2.1186440677966103,2.0,0.23436146383118317,1.0,1.0,0.20000000000000004,0.3195266272189349,2.2564102564102564,5.0,0.5474358974358974,0.9086127547666006,0,0,4.075757575757576,1.382638788121929,84.90756654789352,0.1251328171843185,0.08142493638676923,0.2076923076923077,0.20930232558139533,50.83,98.16,16.12,6.68,1.39,56.39,22.96,34.82,0.0,100.0,0.0,100.0,50.83,98.16,16.12,6.68,0.0,9.09,0.0,9.09,0.0,9.09,0.0,9.09,-4.56,9.25,0.0,11.53,-6.12,18.37,-2.04,10.2,13.23,17.46,11.64,6.88,20.0,40.0,20.0,0.0,12.17,14.91,11.32,8.24,29.93,47.97,21.34,2.97,0.0,100.0,66.67,100.0,0.0,100.0,66.67,100.0,-30.99,54.39,-14.33,21.35,63.61,21.97,51.84,39.64,21.57,43.1,28.28,30.44,62.82,112.38,20.08,9.89,11.49,95.42,19.78,-137.0,1932234432.23,0.0,2648351648.35,2076923076.92,2586206896.55,0.0,2307692307.69,2093023255.81,-23.88,-35.17,-50.0,-23.88,-8.33,-8.33,-12.65,-20.69,5.13,33.33,-2.39,34.68,30000000000.0,30000000000.0,187.18,34.14,37.83,-23.33,42.95,1932234432.23,2586206896.55
Zamren,36,35,0.013110314429775336,1.0,1.0,0.013110314429775336,0.8,0.45454545454545453,0.09507485738759049,0.11651234567901225,5.29047619047619,10.0,0.2748872511967738,6.8092743764172345,12,35,21.41176470588235,0.9573390576586439,3332.9999999999513,0.0065551572148843905,-0.7052810902896083,0.0,0.0,9,0.1018376673044338,1.0614334470989761,1.0,0.1018376673044338,0.8,0.45454545454545453,0.09524727118069394,0.11651234567901225,2.834920634920635,5.0,0.4092592592592567,0.9378281683043587,8,25,27.676470588235293,1.7812362750344295,1374.2265415549602,0.05319771482476318,-0.39166237776634066,0.10909132171387072,0.11688311688311688,0.12967849154194838,1.5341296928327646,1.0,0.12967849154194838,0.8571428571428571,0.6363636363636364,0.13334768716365097,0.1574074074074073,3.1920634920634923,5.0,0.37283068783068496,1.209143361048123,4,12,14.745098039215682,1.1454390800279703,1089.9124242056616,0.0670094868201577,-0.47849462365591416,0.0,0.0,0.07861668622862535,1.5546075085324231,1.0,0.07861668622862535,0.8857142857142857,0.6060606060606061,0.11637587834203354,0.14737654320987648,3.6222222222222222,7.0,0.34812925170067893,2.1556966490299825,5,10,11.62549019607843,1.1517932064963485,1190.8714531806327,0.04017932380270883,-0.5306441525953716,0.033179012345679014,0.025,0.04633046198125207,1.5085324232081911,1.0,0.04633046198125207,0.8857142857142857,0.5151515151515151,0.10621596804360332,0.13503086419753074,4.017460317460317,8.0,0.3291987906273615,3.2711237087427563,6,8,12.735294117647058,1.1240587071199741,1443.358920434634,0.023514185341363868,-0.436994219653179,0.05654761904761904,0.027777777777777776,676.77,889.13,499.65,253.39,6.14,53.41,55.46,50.85,0.0,0.0,0.0,0.0,676.77,889.13,499.65,253.39,0.0,7.14,10.71,10.71,0.0,40.0,33.33,13.33,0.18,40.26,22.4,11.72,0.0,35.1,26.49,15.89,46.41,39.66,31.53,24.06,50.0,50.0,30.0,20.0,48.88,35.63,26.64,19.76,86.23,82.24,68.34,51.96,33.33,66.67,58.33,50.0,28.57,65.71,71.43,77.14,-29.26,31.14,45.71,40.52,86.06,19.65,20.31,17.41,58.77,67.3,64.27,56.69,711.54,922.24,512.94,258.71,-44.47,-32.16,-24.76,-38.04,1090913217.14,0.0,331790123.46,565476190.48,1168831168.83,0.0,250000000.0,277777777.78,-21.47,-30.81,0.0,-21.47,-6.67,-28.57,-28.57,-25.98,-11.19,0.0,9.77,-22.44,100.0,108.33,87.7,55.51,26.09,-20.61,18.15,1090913217.14,1168831168.83
Arnes,34,46,0.06403925659392817,1.429126213592233,1.0,0.06403925659392817,0.6060606060606061,0.41935483870967744,0.09634087989781817,0.1444636678200691,3.4367201426024954,7.0,0.3637339784398586,1.8324484225711026,4,3,20.385416666666668,1.3108748391866245,1065.6548566847605,0.03348132623825588,-0.012757201646090413,0.09754901960784314,0.1016949152542373,9,0.15097511131522962,1.4387351778656126,1.0,0.15097511131522962,0.6060606060606061,0.3225806451612903,0.08376277724407591,0.1444636678200691,2.607843137254902,4.0,0.443701723113485,0.7303484673726889,4,3,25.591666666666665,2.1210646484314957,734.7720995722487,0.08289187310461396,-0.16142849494030118,0.24563629373317955,0.16153846153846155,0.21986648657721442,2.474308300395257,2.0,0.21986648657721442,1.0,1.0,0.17536576354679803,0.24134948096885805,2.800356506238859,5.0,0.41993464052287294,0.8621032597125708,0,0,10.369791666666666,1.4578081772074722,577.5058927615698,0.1173417861767124,-0.1547876847754441,0.07794117647058825,0.0759493670886076,0.1627697332293805,2.2154150197628457,2.0,0.1627697332293805,1.0,0.5806451612903226,0.14771984744954708,0.19377162629757774,2.802139037433155,5.0,0.42403446226975366,1.007196850543815,0,0,22.831249999999997,1.8908070710598335,698.7879212136229,0.08782010341477106,-0.08824198317034329,0.16456582633053218,0.1542056074766355,0.12349152674047076,2.3102766798418974,2.0,0.12349152674047076,1.0,0.7096774193548387,0.15932696051167963,0.2050173010380622,2.9554367201426026,6.0,0.40894236482471497,1.1940925454609002,0,0,13.424999999999999,1.53203855052008,643.4870047028184,0.06602172157784232,0.028152141359688965,0.07987861811391225,0.09259259259259259,135.75,243.33,154.17,92.84,0.67,73.13,55.02,61.66,0.0,100.0,100.0,100.0,135.75,243.33,154.17,92.84,0.0,65.0,65.0,65.0,-23.08,138.46,38.46,69.23,-13.06,82.03,53.33,65.38,0.0,67.07,34.13,41.92,24.12,18.52,18.46,14.0,42.86,28.57,28.57,14.29,21.99,15.45,16.58,12.43,60.14,52.95,45.04,34.84,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,-25.54,49.13,-12.0,34.14,61.81,11.21,44.24,16.87,31.05,45.81,34.43,39.62,147.58,250.47,162.3,97.19,1165.39,1113.33,591.7,-320.68,151.81,-20.1,68.7,-18.11,58.85,-25.32,51.64,-8.95,-31.33,-41.85,-50.0,-31.33,-39.39,-67.74,-52.24,-40.14,-6.87,-20.0,5.66,-15.28,40000000000.0,30000000000.0,146.79,45.5,27.23,-29.36,-4.29,215.16,112.69
BtEurope,24,37,0.23641210887130704,1.4476987447698744,1.0,0.23641210887130704,0.8260869565217391,0.6363636363636364,0.11512483530961791,0.15277777777777768,2.3152173913043477,4.0,0.4978864734299522,0.6216524889729049,3,7,11.560606060606059,2.157878853032335,372.51934683213585,0.1316551398767027,-0.5348889640401303,0.3970263532763532,0.18652849740932642,6,0.31141366999228653,1.497854077253219,1.0,0.31141366999228653,0.8260869565217391,0.6363636363636364,0.11512483530961791,0.15277777777777768,2.0615942028985508,3.0,0.5416666666666674,0.3693945599663936,3,7,15.475757575757576,3.057266185966796,327.7875672126538,0.17816026509191907,-0.5330957295419289,0.5215277777777778,0.23841059602649006,0.35924989314822703,2.1201716738197427,2.0,0.35924989314822703,1.0,0.8181818181818182,0.1582391774891775,0.1996527777777779,2.1557971014492754,3.0,0.5259661835748798,0.44311856752783035,0,0,10.439393939393941,2.2628857424364774,258.58699490399135,0.20458804040632583,-0.400713966979027,0.4183938746438746,0.1848341232227488,0.24350565125084622,1.7081545064377683,2.0,0.24350565125084622,0.8260869565217391,0.6363636363636364,0.11877959721437983,0.16493055555555552,2.239130434782609,4.0,0.5166062801932373,0.602236925015753,1,0,11.672510822510823,2.421794808553884,280.6637839620097,0.13581510335064514,-0.36548346295648443,0.5254070004070003,0.23076923076923078,0.31141366999228653,1.497854077253219,1.0,0.31141366999228653,0.8260869565217391,0.6363636363636364,0.11512483530961791,0.15277777777777768,2.0615942028985508,3.0,0.5416666666666674,0.3693945599663936,3,7,15.475757575757576,3.057266185966796,327.7875672126538,0.17816026509191907,-0.5330957295419289,0.5215277777777778,0.23841059602649006,31.72,51.96,3.0,31.72,3.46,46.45,17.99,3.46,0.0,100.0,100.0,0.0,31.72,51.96,3.0,31.72,0.0,21.05,0.0,0.0,0.0,28.57,0.0,0.0,0.0,37.45,3.17,0.0,0.0,30.68,7.95,0.0,10.95,6.89,3.29,10.95,25.0,25.0,0.0,25.0,8.79,5.64,3.76,8.79,40.58,28.72,3.12,40.58,0.0,100.0,66.67,0.0,0.0,100.0,100.0,0.0,-33.87,9.7,-0.97,-33.87,41.68,4.87,12.23,41.68,12.01,30.58,24.66,12.01,35.32,55.4,3.16,35.32,-0.34,-25.08,-31.67,-0.34,31.36,5.38,32.34,31.36,27.81,-0.91,23.72,27.81,-13.32,-29.35,-50.0,-13.32,-17.39,-22.22,-27.25,-23.48,-4.37,0.0,2.99,-16.64,30000000000.0,70000000000.0,48.24,35.1,26.76,-12.92,-33.04,24.65,28.99
