Graph,Reward,Attempt,RawAction,Node_U,Node_V,Edge,WasValid,WasAdded,StepReward
HurricaneElectric,PBR,1,32,4,12,4-12,True,True,0.030181086135509867
HurricaneElectric,PBR,2,32,1,12,1-12,True,True,0.021836228026478877
HurricaneElectric,PBR,3,32,12,13,12-13,True,True,0.019944908968680702
HurricaneElectric,PBR,4,32,3,12,3-12,True,True,0.01656288370284316
HurricaneElectric,PBR,5,32,12,20,12-20,True,True,0.01673862250212194
HurricaneElectric,PBR,6,32,5,12,5-12,True,True,0.012828144393669815
HurricaneElectric,EFFRES,1,113,7,9,7-9,True,True,0.10557620522576375
HurricaneElectric,EFFRES,2,65,15,17,15-17,True,True,0.08427552418238235
HurricaneElectric,EFFRES,3,65,18,22,18-22,True,True,0.09848807554013755
HurricaneElectric,EFFRES,4,0,6,16,6-16,True,True,0.10825011405979776
HurricaneElectric,EFFRES,5,0,6,22,6-22,True,True,0.0833704886649007
HurricaneElectric,EFFRES,6,0,0,17,0-17,True,True,0.0512322559506767
HurricaneElectric,IVI,1,48,12,15,12-15,True,True,0.24266908212560345
HurricaneElectric,IVI,2,2,7,16,7-16,True,True,0.009313154831198944
HurricaneElectric,IVI,3,0,5,6,5-6,True,True,0.010296010296010391
HurricaneElectric,IVI,4,65,18,22,18-22,True,True,0.9999988332434203
HurricaneElectric,IVI,5,65,8,17,8-17,True,True,0.49748944037496556
HurricaneElectric,IVI,6,66,6,18,6-18,True,True,-0.035380670798154296
HurricaneElectric,NNSI,1,32,4,12,4-12,True,True,0.07581227426970254
HurricaneElectric,NNSI,2,32,1,12,1-12,True,True,0.0662499999068358
HurricaneElectric,NNSI,3,32,12,13,12-13,True,True,0.08866234154086235
HurricaneElectric,NNSI,4,32,3,12,3-12,True,True,0.05932203380027285
HurricaneElectric,NNSI,5,32,12,20,12-20,True,True,0.14114114089319046
HurricaneElectric,NNSI,6,32,5,12,5-12,True,True,0.05050505040174476
Nextgen,PBR,1,40,10,13,10-13,True,True,0.4784946035475197
Nextgen,PBR,2,40,11,13,11-13,True,True,0.26076554294822163
Nextgen,PBR,3,32,3,13,3-13,True,True,0.14248365707197233
Nextgen,PBR,4,32,0,13,0-13,True,True,0.10746513335420653
Nextgen,PBR,5,32,1,13,1-13,True,True,0.08279569754641554
